,link_id,week_type,velocity_AVRG
93,571240914,weekend,57.85
94,571240914,weekend,43.91
95,571240923,weekend,26.7
96,571240923,weekend,27.79
97,571240941,weekend,26.7
98,571240941,weekend,27.79
99,571240942,weekend,27.79
100,571240942,weekend,26.7
101,571240952,weekend,27.79
102,571240952,weekend,26.7
103,571241030,weekend,54.61
104,571241036,weekend,28.54
105,571241039,weekend,28.54
106,571241147,weekend,21.67
107,571241147,weekend,18.49
108,571241194,weekend,52.46
109,571241194,weekend,50.92
110,571241205,weekend,52.46
111,571241205,weekend,50.92
112,571241210,weekend,30.59
113,571241210,weekend,30.23
114,571241217,weekend,29.54
115,571241217,weekend,27.96
116,571241371,weekend,35.0
117,571241371,weekend,36.91
118,571241464,weekend,26.57
119,571241464,weekend,23.65
120,571241471,weekend,42.6
121,571241471,weekend,31.91
122,571241499,weekend,35.21
123,571241499,weekend,27.47
124,571241502,weekend,35.21
125,571241502,weekend,27.47
126,571241697,weekend,43.26
127,571241697,weekend,32.88
128,571241701,weekend,43.91
129,571241701,weekend,57.85
130,571241705,weekend,63.11
131,571241705,weekend,65.64
132,571241706,weekend,65.64
133,571241706,weekend,63.11
134,571241733,weekend,38.12
135,571241733,weekend,34.79
136,571241736,weekend,38.12
137,571241736,weekend,34.79
138,571241951,weekend,36.91
139,571241951,weekend,35.0
140,571241971,weekend,29.45
141,571241971,weekend,34.32
142,571241973,weekend,22.24
143,571241973,weekend,25.87
144,571241979,weekend,25.43
145,571241979,weekend,39.68
146,571242020,weekend,30.62
147,571242020,weekend,34.68
148,571242026,weekend,25.23
149,571242026,weekend,41.51
150,571242028,weekend,35.18
151,571242028,weekend,19.43
152,571242030,weekend,33.01
153,571242030,weekend,38.35
154,571242048,weekend,39.68
155,571242048,weekend,25.43
156,571242065,weekend,52.32
157,571242065,weekend,54.83
158,571242222,weekend,23.66
159,571242222,weekend,37.99
160,571242286,weekend,49.76
161,571242301,weekend,37.99
162,571242301,weekend,23.66
163,571242306,weekend,38.11
164,571242308,weekend,38.39
165,571242310,weekend,27.71
166,571242310,weekend,35.69
167,571242311,weekend,25.0
168,571242333,weekend,21.49
169,571242333,weekend,28.3
170,571242413,weekend,25.94
171,571242413,weekend,26.6
172,571242445,weekend,27.25
173,571242445,weekend,35.7
174,571242448,weekend,35.7
175,571242448,weekend,27.25
176,571242449,weekend,35.7
177,571242449,weekend,27.25
178,571242457,weekend,24.67
179,571242457,weekend,15.09
180,571242481,weekend,26.6
181,571242481,weekend,25.94
182,571242495,weekend,23.19
183,571242495,weekend,24.41
184,571242533,weekend,23.52
185,571242533,weekend,24.51
186,571242540,weekend,24.41
187,571242540,weekend,23.19
188,571242550,weekend,24.51
189,571242550,weekend,23.52
190,571242556,weekend,31.48
191,571242556,weekend,19.51
192,571242594,weekend,30.23
193,571242594,weekend,30.59
194,571242597,weekend,23.66
195,571242597,weekend,37.99
196,571242625,weekend,33.51
197,571242625,weekend,28.0
198,571242672,weekend,34.68
199,571242672,weekend,30.62
200,571242683,weekend,33.02
201,571242683,weekend,31.83
202,571242694,weekend,34.32
203,571242694,weekend,29.45
204,571242715,weekend,35.45
205,571242715,weekend,33.53
206,571242727,weekend,32.99
207,571242727,weekend,26.73
208,571242730,weekend,29.74
209,571242730,weekend,28.46
210,571242742,weekend,36.24
211,571242742,weekend,30.22
212,571242743,weekend,27.71
213,571242743,weekend,35.69
214,571242744,weekend,35.69
215,571242744,weekend,27.71
216,571242745,weekend,27.96
217,571242745,weekend,29.54
218,571242747,weekend,27.83
219,571242747,weekend,25.34
220,571242748,weekend,27.83
221,571242748,weekend,25.34
222,571242755,weekend,15.56
223,571242759,weekend,7.46
224,571242760,weekend,27.79
225,571242763,weekend,36.57
226,571242785,weekend,54.83
227,571242785,weekend,52.32
228,571242788,weekend,35.38
229,571242788,weekend,31.57
230,571242802,weekend,43.91
231,571242802,weekend,57.85
232,571242879,weekend,22.64
233,571242879,weekend,18.79
234,571242887,weekend,23.57
235,571242887,weekend,24.85
236,571242888,weekend,24.85
237,571242888,weekend,23.57
238,571242908,weekend,52.46
239,571242908,weekend,50.92
240,571242924,weekend,53.25
241,571242924,weekend,38.23
242,571242925,weekend,19.22
243,571242925,weekend,19.57
244,571242927,weekend,38.23
245,571242927,weekend,53.25
246,571242928,weekend,38.23
247,571242928,weekend,53.25
248,571242953,weekend,27.76
249,571242968,weekend,27.71
250,571242968,weekend,35.69
251,571242969,weekend,35.69
252,571242969,weekend,27.71
253,571243005,,
254,571243029,,
255,571243067,weekend,35.45
256,571243067,weekend,33.53
257,571243086,weekend,29.45
258,571243086,weekend,34.32
259,571243109,weekend,20.72
260,571243109,weekend,25.73
261,571243110,weekend,30.62
262,571243110,weekend,30.84
263,571243113,weekend,30.84
264,571243113,weekend,30.62
265,571243114,weekend,30.62
266,571243114,weekend,30.84
267,571243116,weekend,30.14
268,571243116,weekend,29.4
269,571243117,,
270,571243250,weekend,35.7
271,571243250,weekend,27.25
272,571243298,weekend,30.62
273,571243298,weekend,34.68
274,571243317,weekend,30.31
275,571243317,weekend,31.12
276,571243375,weekend,23.49
277,571243375,weekend,22.27
278,571243382,weekend,26.45
279,571243382,weekend,18.9
280,571243446,weekend,19.57
281,571243446,weekend,19.22
282,571243447,weekend,19.57
283,571243447,weekend,19.22
284,571243461,weekend,27.79
285,571243461,weekend,26.7
286,571243505,,
287,571243521,,
288,571243601,weekend,30.84
289,571243601,weekend,30.62
290,571243602,weekend,30.62
291,571243602,weekend,30.84
292,571243631,,
293,571243632,,
294,571243638,weekend,44.8
295,571243638,weekend,51.86
296,571243641,weekend,25.73
297,571243641,weekend,20.72
298,571243642,weekend,20.72
299,571243642,weekend,25.73
300,571243650,weekend,29.74
301,571243650,weekend,28.46
302,571243677,weekend,35.83
303,571243677,weekend,32.68
304,571243769,weekend,29.74
305,571243769,weekend,28.46
306,571243774,weekend,45.72
307,571243774,weekend,51.36
308,571243779,,
309,571243800,weekend,29.74
310,571243800,weekend,28.46
311,571243801,weekend,28.46
312,571243801,weekend,29.74
313,571243822,weekend,39.94
314,571243822,weekend,34.07
315,571243825,weekend,34.66
316,571243825,weekend,32.41
317,571243884,weekend,37.69
318,571243884,weekend,24.89
319,571243886,weekend,35.7
320,571243886,weekend,27.25
321,571243902,,
322,571244146,weekend,38.39
323,571244151,weekend,19.57
324,571244151,weekend,19.22
325,571244162,weekend,19.22
326,571244162,weekend,19.57
327,571244165,weekend,39.94
328,571244165,weekend,34.07
329,571244166,weekend,34.07
330,571244166,weekend,39.94
331,571244168,weekend,19.22
332,571244168,weekend,19.57
333,571244184,weekend,44.8
334,571244184,weekend,51.86
335,571244185,weekend,51.86
336,571244185,weekend,44.8
337,571244201,weekend,33.53
338,571244201,weekend,35.45
339,571244203,weekend,35.45
340,571244203,weekend,33.53
341,571244204,weekend,33.53
342,571244204,weekend,35.45
343,571244322,,
344,571244323,,
345,571244341,weekend,34.07
346,571244341,weekend,39.94
347,571244345,weekend,34.66
348,571244345,weekend,32.41
349,571244366,weekend,39.94
350,571244366,weekend,34.07
351,571244378,weekend,36.02
352,571244378,weekend,39.42
353,571244622,weekend,32.83
354,571244622,weekend,32.03
355,571244630,weekend,30.14
356,571244630,weekend,29.4
357,571244631,weekend,33.73
358,571244631,weekend,30.46
359,571244637,weekend,32.83
360,571244637,weekend,32.03
361,571244641,weekend,39.42
362,571244641,weekend,36.02
363,571244723,weekend,34.32
364,571244723,weekend,29.45
365,571244724,weekend,29.45
366,571244724,weekend,34.32
367,571244812,weekend,33.51
368,571244812,weekend,28.0
369,571244820,,
370,571244931,weekend,26.7
371,571244931,weekend,27.79
372,571244954,weekend,27.79
373,571244954,weekend,26.7
374,571245056,weekend,34.07
375,571245056,weekend,39.94
376,571245109,weekend,34.66
377,571245109,weekend,32.41
378,571245166,weekend,32.68
379,571245166,weekend,35.83
380,571245204,weekend,50.92
381,571245204,weekend,52.46
382,571245214,weekend,51.86
383,571245214,weekend,44.8
384,571245265,,
385,571245354,,
386,571245388,weekend,29.4
387,571245388,weekend,30.14
388,571245396,weekend,32.88
389,571245396,weekend,43.26
390,571245397,weekend,43.26
391,571245397,weekend,32.88
392,571245402,weekend,32.83
393,571245402,weekend,32.03
394,571245475,weekend,29.45
395,571245475,weekend,34.32
396,571245497,weekend,65.64
397,571245497,weekend,63.11
398,571245498,weekend,63.11
399,571245498,weekend,65.64
400,571245683,weekend,34.68
401,571245683,weekend,30.62
402,571245685,weekend,30.62
403,571245685,weekend,34.68
404,571245686,weekend,34.68
405,571245686,weekend,30.62
406,571245732,weekend,19.57
407,571245732,weekend,19.22
408,571245771,,
409,571245773,weekend,48.91
410,571245773,weekend,34.0
411,571245777,weekend,20.37
412,571245777,weekend,17.42
413,571245810,weekend,35.69
414,571245810,weekend,27.71
415,571245811,weekend,27.71
416,571245811,weekend,35.69
417,571245826,weekend,27.47
418,571245826,weekend,35.21
419,571245851,weekend,30.31
420,571245851,weekend,31.12
421,571245892,weekend,18.79
422,571245892,weekend,22.64
423,571245894,weekend,23.52
424,571245894,weekend,20.92
425,571245895,weekend,20.92
426,571245895,weekend,23.52
427,571245937,weekend,43.26
428,571245937,weekend,32.88
429,571245938,weekend,32.88
430,571245938,weekend,43.26
431,571245940,weekend,43.26
432,571245940,weekend,32.88
433,571245941,weekend,32.88
434,571245941,weekend,43.26
435,571246103,weekend,43.56
436,571246103,weekend,45.61
437,571246111,weekend,43.56
438,571246111,weekend,45.61
439,571246154,,
440,571246182,weekend,30.14
441,571246182,weekend,29.4
442,571246184,weekend,29.4
443,571246184,weekend,30.14
444,571246202,weekend,42.6
445,571246202,weekend,31.91
446,571246204,weekend,31.91
447,571246204,weekend,42.6
448,571246208,weekend,49.06
449,571246208,weekend,54.31
450,571246210,weekend,49.06
451,571246210,weekend,54.31
452,571246214,,
453,571246216,weekend,52.84
454,571246216,weekend,47.07
455,571246224,weekend,50.18
456,571246234,weekend,33.39
457,571246234,weekend,29.44
458,571246236,weekend,33.39
459,571246238,weekend,33.39
460,571246238,weekend,29.44
461,571246244,weekend,51.05
462,571246244,weekend,50.18
463,571246246,weekend,50.18
464,571246246,weekend,51.05
465,571246342,weekend,43.56
466,571246342,weekend,45.61
467,571246472,weekend,33.73
468,571246472,weekend,30.46
469,571246484,weekend,25.34
470,571246484,weekend,27.83
471,571246496,weekend,43.26
472,571246496,weekend,32.88
473,571247070,weekend,39.35
474,571247108,weekend,19.45
475,571247108,weekend,29.74
476,571247188,weekend,51.86
477,571247188,weekend,44.8
478,571247290,weekend,42.6
479,571247290,weekend,31.91
480,571247292,weekend,31.91
481,571247292,weekend,42.6
482,571247296,weekend,49.06
483,571247296,weekend,54.31
484,571247298,weekend,54.31
485,571247298,weekend,49.06
486,571247376,weekend,26.39
487,571247376,weekend,21.23
488,571247448,weekend,27.83
489,571247448,weekend,25.34
490,571247454,weekend,36.02
491,571247454,weekend,39.42
492,571247456,weekend,39.42
493,571247456,weekend,36.02
494,571247458,weekend,34.79
495,571247458,weekend,38.12
496,571247460,weekend,38.12
497,571247460,weekend,34.79
498,571247462,weekend,26.19
499,571247462,weekend,27.76
500,571247464,weekend,27.76
501,571247464,weekend,26.19
502,571248050,weekend,32.99
503,571248050,weekend,26.73
504,571248198,weekend,26.73
505,571248198,weekend,32.99
506,571248200,weekend,32.99
507,571248200,weekend,26.73
508,571248202,weekend,51.36
509,571248202,weekend,45.72
510,571248300,,
511,571248364,weekend,39.42
512,571248364,weekend,36.02
513,571248642,weekend,45.61
514,571248642,weekend,43.56
515,571248644,weekend,45.61
516,571248644,weekend,43.56
517,571248648,weekend,43.56
518,571248648,weekend,45.61
519,571248738,weekend,26.73
520,571248738,weekend,32.99
521,571248740,weekend,32.99
522,571248740,weekend,26.73
523,571248966,weekend,30.62
524,571248966,weekend,34.68
525,571249026,weekend,49.58
526,571249026,weekend,52.16
527,571249304,weekend,36.91
528,571249304,weekend,35.0
529,571249338,weekend,36.02
530,571249338,weekend,39.42
531,571249340,weekend,39.42
532,571249340,weekend,36.02
533,571249342,weekend,36.02
534,571249342,weekend,39.42
535,571249344,weekend,39.42
536,571249344,weekend,36.02
537,571249568,weekend,23.65
538,571249568,weekend,26.57
539,571249630,weekend,29.74
540,571249630,weekend,28.46
541,571249818,weekend,34.07
542,571249818,weekend,39.94
543,571249820,weekend,39.94
544,571249820,weekend,34.07
545,571249822,weekend,39.94
546,571249822,weekend,34.07
547,571249824,weekend,34.07
548,571249824,weekend,39.94
549,571250074,weekend,20.52
550,571250076,weekend,20.52
551,571250080,weekend,44.22
552,571250088,,
553,571250090,,
554,571250092,,
555,571250102,weekend,26.87
556,571250102,weekend,34.92
557,571250118,weekend,34.92
558,571250118,weekend,26.87
559,571250122,weekend,52.46
560,571250122,weekend,50.92
561,571250172,weekend,37.08
562,571250172,weekend,36.87
563,571250174,weekend,36.87
564,571250174,weekend,37.08
565,571250344,weekend,50.92
566,571250344,weekend,52.46
567,571250354,weekend,35.0
568,571250354,weekend,36.91
569,571250368,weekend,34.68
570,571250368,weekend,30.62
571,571250370,weekend,30.62
572,571250370,weekend,34.68
573,571250374,weekend,20.96
574,571250374,weekend,22.62
575,571250376,weekend,22.62
576,571250376,weekend,20.96
577,571250378,weekend,20.96
578,571250378,weekend,22.62
579,571250558,weekend,24.59
580,571250568,weekend,59.54
581,571250568,weekend,59.28
582,571250570,weekend,70.24
583,571250576,weekend,77.52
584,571250578,weekend,46.0
585,571250580,weekend,46.0
586,571250582,weekend,47.32
587,571250584,weekend,47.32
588,571250586,weekend,12.34
589,571250604,weekend,77.52
590,571250608,weekend,52.84
591,571250608,weekend,47.07
592,571250614,weekend,52.84
593,571250614,weekend,47.07
594,571250618,weekend,42.78
595,571250618,weekend,44.34
596,571250620,weekend,8.27
597,571250624,weekend,27.57
598,571250626,weekend,46.0
599,571250628,weekend,20.97
600,571250630,weekend,78.11
601,571250642,weekend,78.11
602,571250644,weekend,78.11
603,571250646,weekend,61.25
604,571250650,weekend,61.25
605,571250652,weekend,61.25
606,571250656,weekend,38.42
607,571250658,weekend,77.52
608,571250660,weekend,85.84
609,571250762,,
610,571250764,,
611,571250782,weekend,24.41
612,571250782,weekend,23.19
613,571250784,weekend,23.19
614,571250784,weekend,24.41
615,571250878,weekend,86.41
616,571250880,weekend,86.41
617,571250950,weekend,31.91
618,571250950,weekend,42.6
619,571250952,weekend,42.6
620,571250952,weekend,31.91
621,571250998,weekend,51.66
622,571251000,weekend,51.66
623,571251156,weekend,50.92
624,571251156,weekend,52.46
625,571251158,weekend,52.46
626,571251158,weekend,50.92
627,571251162,weekend,49.05
628,571251162,weekend,59.35
629,571251166,weekend,50.92
630,571251166,weekend,52.46
631,571251168,weekend,39.94
632,571251206,,
633,571251206,weekend,27.07
634,571251270,weekend,31.68
635,571251270,weekend,31.17
636,571251272,weekend,31.17
637,571251272,weekend,31.68
638,571251340,weekend,52.46
639,571251340,weekend,50.92
640,571251342,weekend,50.92
641,571251342,weekend,52.46
642,571251346,weekend,50.92
643,571251346,weekend,52.46
644,571251350,weekend,52.46
645,571251350,weekend,50.92
646,571251358,weekend,32.99
647,571251358,weekend,26.73
648,571251360,weekend,26.73
649,571251360,weekend,32.99
650,571251366,weekend,26.19
651,571251366,weekend,27.76
652,571251368,weekend,27.76
653,571251368,weekend,26.19
654,571251374,weekend,81.23
655,571251376,weekend,81.23
656,571251482,weekend,37.08
657,571251482,weekend,36.87
658,571251488,,
659,571251494,,
660,571251496,,
661,571251516,weekend,36.87
662,571251516,weekend,37.08
663,571251530,weekend,30.46
664,571251530,weekend,33.73
665,571251590,weekend,31.12
666,571251590,weekend,30.31
667,571251592,weekend,30.31
668,571251592,weekend,31.12
669,571251690,weekend,28.46
670,571251690,weekend,29.74
671,571251704,weekend,51.36
672,571251704,weekend,45.72
673,571251706,weekend,45.72
674,571251706,weekend,51.36
675,571251792,weekend,33.53
676,571251792,weekend,35.45
677,571251794,weekend,35.45
678,571251794,weekend,33.53
679,571251796,weekend,33.02
680,571251796,weekend,31.83
681,571251800,weekend,31.57
682,571251800,weekend,35.38
683,571251802,weekend,35.38
684,571251802,weekend,31.57
685,571251842,weekend,24.54
686,571251844,weekend,21.15
687,571251846,weekend,18.51
688,571251848,weekend,24.4
689,571251850,weekend,22.19
690,571251852,weekend,22.67
691,571251854,weekend,13.56
692,571251864,weekend,21.14
693,571251868,weekend,11.17
694,571251872,weekend,16.26
695,571251874,weekend,16.88
696,571251876,weekend,19.71
697,571251936,weekend,54.83
698,571251936,weekend,52.32
699,571251944,weekend,52.32
700,571251944,weekend,54.83
701,571251950,weekend,54.83
702,571251950,weekend,52.32
703,571251954,weekend,52.32
704,571251954,weekend,54.83
705,571251962,weekend,45.72
706,571251962,weekend,51.36
707,571251966,weekend,63.11
708,571251966,weekend,65.64
709,571251968,weekend,65.64
710,571251968,weekend,63.11
711,571251970,weekend,52.32
712,571251970,weekend,54.83
713,571251972,weekend,54.83
714,571251972,weekend,52.32
715,571251978,weekend,19.45
716,571251984,weekend,44.45
717,571251984,weekend,39.35
718,571252008,weekend,43.56
719,571252008,weekend,45.61
720,571252016,weekend,45.61
721,571252016,weekend,43.56
722,571252042,weekend,34.66
723,571252042,weekend,32.41
724,571252044,weekend,32.41
725,571252044,weekend,34.66
726,571252050,weekend,17.5
727,571252050,weekend,24.27
728,571252052,weekend,24.27
729,571252052,weekend,17.5
730,571252054,weekend,57.85
731,571252054,weekend,43.91
732,571252056,weekend,43.91
733,571252056,weekend,57.85
734,571252062,weekend,43.56
735,571252064,weekend,45.61
736,571252064,weekend,43.56
737,571252170,weekend,51.86
738,571252170,weekend,44.8
739,571252172,weekend,44.8
740,571252172,weekend,51.86
741,571252202,weekend,50.92
742,571252202,weekend,52.46
743,571252224,weekend,52.32
744,571252224,weekend,54.83
745,571252226,weekend,52.32
746,571252226,weekend,54.83
747,571252228,weekend,54.83
748,571252228,weekend,52.32
749,571252258,weekend,51.86
750,571252258,weekend,44.8
751,571252268,,
752,571252278,,
753,571252284,weekend,41.51
754,571252284,weekend,25.23
755,571252292,,
756,571252296,weekend,41.51
757,571252296,weekend,25.23
758,571252298,weekend,25.23
759,571252298,weekend,41.51
760,571252458,,
761,571252460,,
762,571253084,weekend,36.91
763,571253084,weekend,35.0
764,571253086,weekend,35.0
765,571253086,weekend,36.91
766,571253116,weekend,45.72
767,571253116,weekend,51.36
768,571253120,weekend,25.43
769,571253120,weekend,39.68
770,571253130,weekend,44.8
771,571253130,weekend,51.86
772,571253132,weekend,51.86
773,571253132,weekend,44.8
774,571253314,,
775,571253456,weekend,19.43
776,571253456,weekend,35.18
777,571253458,weekend,35.18
778,571253458,weekend,19.43
779,571253464,,
780,571253466,,
781,571253468,,
782,571253470,,
783,571253472,,
784,571253474,,
785,571253476,,
786,571253478,,
787,571253508,weekend,45.61
788,571253508,weekend,43.56
789,571253510,weekend,43.56
790,571253510,weekend,45.61
791,571253558,,
792,571253584,weekend,59.35
793,571253584,weekend,49.05
794,571253586,weekend,49.05
795,571253586,weekend,59.35
796,571253896,,
797,571253936,weekend,24.41
798,571253936,weekend,23.19
799,571253938,weekend,23.19
800,571253938,weekend,24.41
801,571254121,weekend,32.68
802,571254121,weekend,35.83
803,571254122,weekend,35.83
804,571254122,weekend,32.68
805,571254132,weekend,51.36
806,571254132,weekend,45.72
807,571254135,weekend,51.36
808,571254135,weekend,45.72
809,571254165,,
810,571254166,,
811,571254167,,
812,571254168,,
813,571254169,,
814,571254171,,
815,571254487,weekend,36.87
816,571254487,weekend,37.08
817,571254488,weekend,37.08
818,571254488,weekend,36.87
819,571254588,weekend,30.22
820,571254588,weekend,36.24
821,571254827,,
822,571254903,weekend,24.27
823,571254903,weekend,17.5
824,571254904,weekend,17.5
825,571254904,weekend,24.27
826,571254990,,
827,571254992,,
828,571255162,weekend,43.56
829,571255162,weekend,45.61
830,571255163,weekend,45.61
831,571255163,weekend,43.56
832,571255179,weekend,18.49
833,571255179,weekend,21.67
834,571255180,weekend,21.67
835,571255180,weekend,18.49
836,571255187,weekend,30.14
837,571255187,weekend,29.4
838,571255188,weekend,29.4
839,571255188,weekend,30.14
840,571255388,weekend,34.32
841,571255388,weekend,29.45
842,571255389,weekend,29.45
843,571255389,weekend,34.32
844,571343012,weekend,58.95
845,571343012,weekend,67.04
846,571343013,weekend,67.04
847,571343013,weekend,58.95
848,571343017,weekend,58.95
849,571343017,weekend,67.04
850,571343912,weekend,19.7
851,571343912,weekend,16.79
852,571343935,weekend,20.41
853,571343935,weekend,19.96
854,571343953,weekend,20.41
855,571343953,weekend,19.96
856,571343954,weekend,19.96
857,571343954,weekend,20.41
858,571343975,weekend,25.57
859,571343975,weekend,21.9
860,571343978,weekend,21.9
861,571343978,weekend,25.57
862,571343979,weekend,25.57
863,571343979,weekend,21.9
864,571350715,weekend,31.37
865,571350715,weekend,37.69
866,571351034,weekend,58.95
867,571351034,weekend,67.04
868,571352258,weekend,46.54
869,571352258,weekend,51.3
870,571352334,weekend,69.78
871,571352344,weekend,60.0
872,571352364,weekend,61.12
873,571352368,weekend,59.47
874,571352374,weekend,49.23
875,571352376,weekend,48.44
876,571352378,weekend,48.6
877,571352380,weekend,54.52
878,571352422,weekend,50.97
879,571352422,weekend,34.95
880,571352432,weekend,56.16
881,571352432,weekend,57.32
882,571352434,weekend,56.13
883,571352434,weekend,63.7
884,571352438,weekend,32.01
885,571352442,weekend,37.04
886,571352444,weekend,37.04
887,571352444,weekend,32.01
888,571352448,weekend,74.64
889,571352452,weekend,74.1
890,571352454,weekend,49.44
891,571352456,weekend,49.44
892,571352458,weekend,45.21
893,571352460,weekend,45.21
894,571352464,,
895,571352468,,
896,571352484,weekend,53.39
897,571352490,,
898,571352500,,
899,571352510,,
900,571352512,,
901,571352518,weekend,74.1
902,571352522,weekend,74.64
903,571352986,weekend,34.26
904,571352986,weekend,32.61
905,571352990,weekend,46.54
906,571352990,weekend,51.3
907,571352992,weekend,34.95
908,571352992,weekend,50.97
909,571352998,weekend,45.48
910,571352998,weekend,46.8
911,571353010,weekend,45.48
912,571353010,weekend,46.8
913,571353018,weekend,45.48
914,571353018,weekend,46.8
915,571353040,weekend,45.48
916,571353040,weekend,46.8
917,571353152,weekend,25.28
918,571353152,weekend,24.6
919,571353168,weekend,25.28
920,571353168,weekend,24.6
921,571353178,weekend,25.28
922,571353178,weekend,24.6
923,571353196,weekend,30.2
924,571353196,weekend,25.9
925,571353246,weekend,30.2
926,571353246,weekend,25.9
927,571353250,weekend,35.58
928,571353250,weekend,46.51
929,571353254,weekend,43.92
930,571353254,weekend,47.82
931,571353302,weekend,46.51
932,571353302,weekend,35.58
933,571353310,weekend,24.6
934,571353310,weekend,25.28
935,571353544,weekend,27.33
936,571353544,weekend,28.61
937,571353546,weekend,28.61
938,571353546,weekend,27.33
939,571353548,weekend,25.9
940,571353548,weekend,30.2
941,571353616,weekend,31.37
942,571353616,weekend,37.69
943,571353718,weekend,47.82
944,571353718,weekend,43.92
945,571353724,weekend,43.92
946,571353724,weekend,47.82
947,571353726,weekend,47.82
948,571353726,weekend,43.92
949,571353728,weekend,43.92
950,571353728,weekend,47.82
951,571353732,weekend,47.82
952,571353732,weekend,43.92
953,571353736,weekend,43.92
954,571353736,weekend,47.82
955,571353738,weekend,47.82
956,571353738,weekend,43.92
957,571353740,weekend,43.92
958,571353740,weekend,47.82
959,571353742,weekend,43.92
960,571353742,weekend,47.82
961,571353744,weekend,47.82
962,571353744,weekend,43.92
963,571353782,weekend,56.59
964,571353782,weekend,35.34
965,571353784,weekend,35.34
966,571353784,weekend,56.59
967,571353786,weekend,35.34
968,571353786,weekend,56.59
969,571353788,weekend,56.59
970,571353788,weekend,35.34
971,571353802,weekend,32.37
972,571353802,weekend,39.39
973,571353804,weekend,39.39
974,571353804,weekend,32.37
975,571353815,weekend,33.48
976,571353815,weekend,36.84
977,571353827,weekend,36.45
978,571353827,weekend,35.53
979,571353835,weekend,30.56
980,571353835,weekend,23.83
981,571353841,weekend,30.56
982,571353841,weekend,23.83
983,571353857,weekend,30.56
984,571353857,weekend,23.83
985,571353861,weekend,30.56
986,571353861,weekend,23.83
987,571353863,weekend,30.56
988,571353863,weekend,23.83
989,571353865,weekend,23.83
990,571353865,weekend,30.56
991,571353920,weekend,50.54
992,571353920,weekend,50.64
993,571353924,weekend,42.59
994,571353924,weekend,44.18
995,571354247,weekend,19.96
996,571354247,weekend,20.41
997,571354249,weekend,20.41
998,571354249,weekend,19.96
999,571354335,weekend,21.9
1000,571354335,weekend,25.57
1001,571354337,weekend,25.57
1002,571354337,weekend,21.9
1003,571354407,weekend,42.59
1004,571354407,weekend,44.18
1005,571354409,weekend,44.18
1006,571354409,weekend,42.59
1007,571354576,weekend,45.24
1008,571354576,weekend,44.03
1009,571354580,weekend,38.66
1010,571354580,weekend,27.2
1011,571354582,weekend,44.03
1012,571354582,weekend,45.24
1013,571354584,weekend,45.24
1014,571354584,weekend,44.03
1015,571354590,weekend,45.24
1016,571354590,weekend,44.03
1017,571354818,weekend,17.36
1018,571354818,weekend,28.29
1019,571354826,weekend,35.0
