연도,대상사고 구분명,법정동코드,사고건수,사고건수 구성비,사망자수,사망자수 구성비,치사율,부상자수,부상자수 구성비
2012,보행자사고,1108,528,1.03,13,0.64,2.46,549,1.06
2012,자전거사고,1108,150,1.16,0,0,0,158,1.2
2012,야간사고,1108,746,0.7,11,0.39,1.47,1074,0.65
2012,어린이사고,1109,44,0.35,0,0,0,48,0.31
2012,노인사고,1109,131,0.46,2,0.11,1.53,134,0.45
2012,보행자사고,1109,305,0.6,4,0.2,1.31,319,0.62
2012,자전거사고,1109,37,0.29,0,0,0,38,0.29
2012,야간사고,1109,536,0.5,9,0.32,1.68,869,0.52
2012,어린이사고,1110,56,0.45,0,0,0,67,0.43
2012,노인사고,1110,147,0.52,10,0.54,6.8,142,0.48
2012,보행자사고,1110,380,0.74,12,0.59,3.16,393,0.76
2012,자전거사고,1110,141,1.09,3,1.04,2.13,145,1.1
2012,야간사고,1110,892,0.83,12,0.43,1.35,1407,0.85
2012,어린이사고,1111,79,0.63,1,1.2,1.27,86,0.56
2012,노인사고,1111,184,0.65,7,0.38,3.8,182,0.61
2012,보행자사고,1111,506,0.99,14,0.69,2.77,513,0.99
2012,자전거사고,1111,149,1.15,1,0.35,0.67,156,1.19
2012,야간사고,1111,941,0.88,14,0.5,1.49,1433,0.86
2012,어린이사고,1112,85,0.68,1,1.2,1.18,103,0.67
2012,노인사고,1112,168,0.6,6,0.32,3.57,169,0.57
2012,보행자사고,1112,454,0.89,10,0.49,2.2,474,0.92
2012,자전거사고,1112,142,1.1,1,0.35,0.7,145,1.1
2012,야간사고,1112,846,0.79,18,0.64,2.13,1292,0.78
2012,어린이사고,1113,73,0.58,0,0,0,87,0.56
2012,노인사고,1113,224,0.79,14,0.75,6.25,220,0.74
2012,보행자사고,1113,558,1.09,19,0.94,3.41,575,1.11
2012,자전거사고,1113,218,1.69,1,0.35,0.46,234,1.78
2012,야간사고,1113,1150,1.07,19,0.68,1.65,1799,1.08
2012,어린이사고,1114,39,0.31,0,0,0,42,0.27
2012,노인사고,1114,129,0.46,4,0.21,3.1,129,0.43
2012,보행자사고,1114,357,0.7,7,0.35,1.96,362,0.7
2012,자전거사고,1114,67,0.52,0,0,0,70,0.53
2012,야간사고,1114,629,0.59,7,0.25,1.11,879,0.53
2012,어린이사고,1115,65,0.52,0,0,0,73,0.47
2012,노인사고,1115,181,0.64,9,0.48,4.97,178,0.6
2012,보행자사고,1115,531,1.04,11,0.54,2.07,531,1.03
2012,자전거사고,1115,88,0.68,2,0.69,2.27,87,0.66
2012,야간사고,1115,919,0.86,6,0.21,0.65,1283,0.77
2012,어린이사고,1116,101,0.81,0,0,0,118,0.76
2012,노인사고,1116,239,0.85,5,0.27,2.09,254,0.86
2012,보행자사고,1116,894,1.75,15,0.74,1.68,947,1.83
2012,자전거사고,1116,130,1.01,2,0.69,1.54,131,1
2012,야간사고,1116,2059,1.92,18,0.64,0.87,3112,1.88
2012,어린이사고,1117,85,0.68,0,0,0,97,0.63
2012,노인사고,1117,167,0.59,3,0.16,1.8,179,0.6
2012,보행자사고,1117,445,0.87,10,0.49,2.25,452,0.87
2012,자전거사고,1117,173,1.34,1,0.35,0.58,178,1.36
2012,야간사고,1117,681,0.64,11,0.39,1.62,952,0.57
2012,어린이사고,1118,149,1.19,0,0,0,183,1.18
2012,노인사고,1118,268,0.95,4,0.21,1.49,275,0.93
2012,보행자사고,1118,640,1.25,6,0.3,0.94,668,1.29
2012,자전거사고,1118,342,2.65,3,1.04,0.88,351,2.67
2012,야간사고,1118,1426,1.33,10,0.36,0.7,2106,1.27
2012,어린이사고,1119,68,0.54,0,0,0,83,0.54
2012,노인사고,1119,163,0.58,9,0.48,5.52,172,0.58
2012,보행자사고,1119,523,1.02,13,0.64,2.49,530,1.03
2012,자전거사고,1119,78,0.6,0,0,0,82,0.62
2012,야간사고,1119,1063,0.99,16,0.57,1.51,1673,1.01
2012,어린이사고,1120,67,0.54,0,0,0,72,0.46
2012,노인사고,1120,136,0.48,8,0.43,5.88,129,0.43
2012,보행자사고,1120,395,0.77,8,0.39,2.03,400,0.77
2012,자전거사고,1120,162,1.26,2,0.69,1.23,164,1.25
2012,야간사고,1120,703,0.66,7,0.25,1,1031,0.62
2012,어린이사고,1121,78,0.62,0,0,0,84,0.54
2012,노인사고,1121,217,0.77,5,0.27,2.3,223,0.75
2012,보행자사고,1121,475,0.93,9,0.44,1.89,493,0.95
2012,자전거사고,1121,191,1.48,1,0.35,0.52,200,1.52
2012,야간사고,1121,878,0.82,4,0.14,0.46,1271,0.77
2012,어린이사고,1122,80,0.64,1,1.2,1.25,92,0.59
2012,노인사고,1122,181,0.64,4,0.21,2.21,185,0.62
2012,보행자사고,1122,423,0.83,10,0.49,2.36,436,0.84
2012,자전거사고,1122,159,1.23,1,0.35,0.63,166,1.26
2012,야간사고,1122,827,0.77,9,0.32,1.09,1239,0.75
2012,어린이사고,1123,51,0.41,0,0,0,60,0.39
2012,노인사고,1123,140,0.5,7,0.38,5,143,0.48
2012,보행자사고,1123,387,0.76,8,0.39,2.07,405,0.78
2012,자전거사고,1123,171,1.32,1,0.35,0.58,174,1.33
2012,야간사고,1123,807,0.75,11,0.39,1.36,1208,0.73
2012,어린이사고,1124,55,0.44,0,0,0,60,0.39
2012,노인사고,1124,137,0.49,6,0.32,4.38,138,0.46
2012,보행자사고,1124,389,0.76,5,0.25,1.29,398,0.77
2012,자전거사고,1124,80,0.62,1,0.35,1.25,87,0.66
2012,야간사고,1124,620,0.58,3,0.11,0.48,900,0.54
2012,어린이사고,1125,54,0.43,1,1.2,1.85,62,0.4
2012,노인사고,1125,100,0.35,4,0.21,4,101,0.34
2012,보행자사고,1125,276,0.54,13,0.64,4.71,273,0.53
2012,자전거사고,1125,102,0.79,2,0.69,1.96,110,0.84
2012,야간사고,1125,567,0.53,14,0.5,2.47,913,0.55
2012,어린이사고,1201,13,0.1,0,0,0,14,0.09
2012,노인사고,1201,66,0.23,2,0.11,3.03,66,0.22
2012,보행자사고,1201,185,0.36,3,0.15,1.62,187,0.36
2012,자전거사고,1201,6,0.05,0,0,0,7,0.05
2012,야간사고,1201,244,0.23,2,0.07,0.82,353,0.21
2012,어린이사고,1202,18,0.14,0,0,0,21,0.14
2012,노인사고,1202,59,0.21,1,0.05,1.69,61,0.21
2012,보행자사고,1202,137,0.27,2,0.1,1.46,143,0.28
2012,자전거사고,1202,12,0.09,0,0,0,13,0.1
2012,야간사고,1202,190,0.18,3,0.11,1.58,279,0.17
2012,어린이사고,1203,11,0.09,1,1.2,9.09,12,0.08
2012,노인사고,1203,74,0.26,2,0.11,2.7,78,0.26
2012,보행자사고,1203,171,0.34,5,0.25,2.92,170,0.33
2012,자전거사고,1203,9,0.07,0,0,0,9,0.07
2012,야간사고,1203,264,0.25,1,0.04,0.38,394,0.24
2012,어린이사고,1204,23,0.18,0,0,0,25,0.16
2012,노인사고,1204,77,0.27,4,0.21,5.19,82,0.28
2012,보행자사고,1204,167,0.33,4,0.2,2.4,168,0.32
2012,자전거사고,1204,5,0.04,2,0.69,40,3,0.02
2012,야간사고,1204,146,0.14,4,0.14,2.74,180,0.11
2012,어린이사고,1205,67,0.54,0,0,0,78,0.5
2012,노인사고,1205,197,0.7,9,0.48,4.57,195,0.66
2012,보행자사고,1205,551,1.08,17,0.84,3.09,559,1.08
2012,자전거사고,1205,36,0.28,0,0,0,37,0.28
2012,야간사고,1205,831,0.78,14,0.5,1.68,1193,0.72
2012,어린이사고,1206,64,0.51,1,1.2,1.56,70,0.45
2012,노인사고,1206,147,0.52,4,0.21,2.72,149,0.5
2012,보행자사고,1206,411,0.81,5,0.25,1.22,418,0.81
2012,자전거사고,1206,82,0.64,0,0,0,87,0.66
2012,야간사고,1206,551,0.51,5,0.18,0.91,794,0.48
2012,어린이사고,1207,56,0.45,0,0,0,60,0.39
2012,노인사고,1207,118,0.42,8,0.43,6.78,112,0.38
2012,보행자사고,1207,318,0.62,12,0.59,3.77,320,0.62
2012,자전거사고,1207,46,0.36,0,0,0,46,0.35
2012,야간사고,1207,452,0.42,6,0.21,1.33,587,0.35
2012,어린이사고,1208,56,0.45,1,1.2,1.79,66,0.43
2012,노인사고,1208,91,0.32,2,0.11,2.2,95,0.32
2012,보행자사고,1208,273,0.53,8,0.39,2.93,275,0.53
2012,자전거사고,1208,22,0.17,0,0,0,22,0.17
2012,야간사고,1208,427,0.4,9,0.32,2.11,608,0.37
2012,어린이사고,1209,80,0.64,0,0,0,95,0.61
2012,노인사고,1209,158,0.56,3,0.16,1.9,165,0.56
2012,보행자사고,1209,399,0.78,9,0.44,2.26,417,0.81
2012,자전거사고,1209,56,0.43,0,0,0,58,0.44
2012,야간사고,1209,823,0.77,12,0.43,1.46,1254,0.76
2012,어린이사고,1210,69,0.55,0,0,0,79,0.51
2012,노인사고,1210,135,0.48,4,0.21,2.96,138,0.46
2012,보행자사고,1210,438,0.86,7,0.35,1.6,446,0.86
2012,자전거사고,1210,39,0.3,2,0.69,5.13,37,0.28
2012,야간사고,1210,721,0.67,14,0.5,1.94,1036,0.62
2012,어린이사고,1211,40,0.32,0,0,0,43,0.28
2012,노인사고,1211,142,0.5,6,0.32,4.23,145,0.49
2012,보행자사고,1211,352,0.69,7,0.35,1.99,354,0.68
2012,자전거사고,1211,50,0.39,1,0.35,2,49,0.37
2012,야간사고,1211,481,0.45,9,0.32,1.87,688,0.41
2012,어린이사고,1212,36,0.29,0,0,0,52,0.34
2012,노인사고,1212,64,0.23,4,0.21,6.25,76,0.26
2012,보행자사고,1212,65,0.13,9,0.44,13.85,64,0.12
2012,자전거사고,1212,29,0.22,2,0.69,6.9,28,0.21
2012,야간사고,1212,289,0.27,20,0.71,6.92,502,0.3
2012,어린이사고,1213,26,0.21,1,1.2,3.85,27,0.17
2012,노인사고,1213,79,0.28,3,0.16,3.8,81,0.27
2012,보행자사고,1213,223,0.44,5,0.25,2.24,230,0.44
2012,자전거사고,1213,42,0.33,1,0.35,2.38,42,0.32
2012,야간사고,1213,379,0.35,9,0.32,2.37,553,0.33
2012,어린이사고,1214,25,0.2,0,0,0,28,0.18
2012,노인사고,1214,82,0.29,1,0.05,1.22,84,0.28
2012,보행자사고,1214,231,0.45,3,0.15,1.3,233,0.45
2012,자전거사고,1214,64,0.5,0,0,0,65,0.5
2012,야간사고,1214,404,0.38,5,0.18,1.24,564,0.34
2012,어린이사고,1215,35,0.28,0,0,0,42,0.27
2012,노인사고,1215,119,0.42,7,0.38,5.88,112,0.38
2012,보행자사고,1215,307,0.6,15,0.74,4.89,303,0.59
2012,자전거사고,1215,58,0.45,0,0,0,60,0.46
2012,야간사고,1215,560,0.52,14,0.5,2.5,872,0.53
2012,어린이사고,1216,45,0.36,0,0,0,56,0.36
2012,노인사고,1216,81,0.29,6,0.32,7.41,90,0.3
2012,보행자사고,1216,114,0.22,3,0.15,2.63,112,0.22
2012,자전거사고,1216,23,0.18,0,0,0,24,0.18
2012,야간사고,1216,225,0.21,8,0.29,3.56,358,0.22
2012,어린이사고,1302,227,1.82,1,1.2,0.44,274,1.77
2012,노인사고,1302,336,1.19,23,1.23,6.85,328,1.1
2012,보행자사고,1302,1032,2.02,36,1.78,3.49,1032,2
2012,자전거사고,1302,211,1.63,6,2.08,2.84,209,1.59
2012,야간사고,1302,2369,2.21,32,1.14,1.35,3738,2.25
2012,어린이사고,1303,160,1.28,3,3.61,1.88,196,1.27
2012,노인사고,1303,283,1,12,0.64,4.24,281,0.95
2012,보행자사고,1303,818,1.6,22,1.09,2.69,834,1.61
2012,자전거사고,1303,86,0.67,2,0.69,2.33,86,0.66
2012,야간사고,1303,1736,1.62,26,0.93,1.5,2679,1.61
2012,어린이사고,1304,84,0.67,0,0,0,103,0.67
2012,노인사고,1304,185,0.66,15,0.8,8.11,183,0.62
2012,보행자사고,1304,386,0.76,17,0.84,4.4,386,0.75
2012,자전거사고,1304,91,0.7,5,1.73,5.49,88,0.67
2012,야간사고,1304,729,0.68,16,0.57,2.19,1096,0.66
2012,어린이사고,1305,117,0.94,1,1.2,0.85,138,0.89
2012,노인사고,1305,190,0.67,8,0.43,4.21,190,0.64
2012,보행자사고,1305,495,0.97,17,0.84,3.43,492,0.95
2012,자전거사고,1305,150,1.16,5,1.73,3.33,159,1.21
2012,야간사고,1305,1082,1.01,24,0.86,2.22,1736,1.05
2012,어린이사고,1306,175,1.4,0,0,0,210,1.36
2012,노인사고,1306,295,1.05,8,0.43,2.71,303,1.02
2012,보행자사고,1306,821,1.61,13,0.64,1.58,849,1.64
2012,자전거사고,1306,226,1.75,4,1.38,1.77,225,1.71
2012,야간사고,1306,1530,1.43,15,0.53,0.98,2420,1.46
2012,어린이사고,1307,183,1.46,0,0,0,237,1.53
2012,노인사고,1307,195,0.69,13,0.7,6.67,195,0.66
2012,보행자사고,1307,644,1.26,15,0.74,2.33,663,1.28
2012,자전거사고,1307,180,1.39,4,1.38,2.22,187,1.42
2012,야간사고,1307,1501,1.4,36,1.28,2.4,2496,1.5
2012,어린이사고,1308,142,1.14,2,2.41,1.41,172,1.11
2012,노인사고,1308,225,0.8,16,0.86,7.11,230,0.77
2012,보행자사고,1308,461,0.9,24,1.18,5.21,464,0.9
2012,자전거사고,1308,74,0.57,5,1.73,6.76,71,0.54
2012,야간사고,1308,1007,0.94,40,1.43,3.97,1598,0.96
2012,어린이사고,1309,61,0.49,0,0,0,66,0.43
2012,노인사고,1309,89,0.32,1,0.05,1.12,96,0.32
2012,보행자사고,1309,244,0.48,10,0.49,4.1,243,0.47
2012,자전거사고,1309,48,0.37,3,1.04,6.25,48,0.37
2012,야간사고,1309,434,0.41,13,0.46,3,649,0.39
2012,어린이사고,1310,35,0.28,0,0,0,41,0.26
2012,노인사고,1310,79,0.28,1,0.05,1.27,84,0.28
2012,보행자사고,1310,151,0.3,3,0.15,1.99,155,0.3
2012,자전거사고,1310,43,0.33,2,0.69,4.65,42,0.32
2012,야간사고,1310,329,0.31,4,0.14,1.22,559,0.34
2012,어린이사고,1311,50,0.4,0,0,0,74,0.48
2012,노인사고,1311,119,0.42,5,0.27,4.2,127,0.43
2012,보행자사고,1311,157,0.31,9,0.44,5.73,156,0.3
2012,자전거사고,1311,33,0.26,0,0,0,37,0.28
2012,야간사고,1311,397,0.37,14,0.5,3.53,645,0.39
2012,어린이사고,1313,28,0.22,0,0,0,31,0.2
2012,노인사고,1313,73,0.26,7,0.38,9.59,93,0.31
2012,보행자사고,1313,68,0.13,7,0.35,10.29,66,0.13
2012,자전거사고,1313,16,0.12,2,0.69,12.5,14,0.11
2012,야간사고,1313,188,0.18,10,0.36,5.32,332,0.2
2012,어린이사고,1315,147,1.18,3,3.61,2.04,191,1.23
2012,노인사고,1315,181,0.64,24,1.29,13.26,189,0.64
2012,보행자사고,1315,345,0.68,23,1.13,6.67,343,0.66
2012,자전거사고,1315,54,0.42,1,0.35,1.85,53,0.4
2012,야간사고,1315,973,0.91,42,1.5,4.32,1605,0.97
2012,어린이사고,1316,135,1.08,0,0,0,173,1.12
2012,노인사고,1316,140,0.5,9,0.48,6.43,145,0.49
2012,보행자사고,1316,428,0.84,16,0.79,3.74,432,0.84
2012,자전거사고,1316,87,0.67,1,0.35,1.15,89,0.68
2012,야간사고,1316,1161,1.08,27,0.96,2.33,1900,1.15
2012,어린이사고,1317,113,0.9,2,2.41,1.77,150,0.97
2012,노인사고,1317,170,0.6,7,0.38,4.12,189,0.64
2012,보행자사고,1317,307,0.6,13,0.64,4.23,318,0.62
2012,자전거사고,1317,49,0.38,2,0.69,4.08,48,0.37
2012,야간사고,1317,668,0.62,17,0.61,2.54,1016,0.61
2012,어린이사고,1318,188,1.5,2,2.41,1.06,227,1.47
2012,노인사고,1318,355,1.26,11,0.59,3.1,381,1.28
2012,보행자사고,1318,700,1.37,27,1.33,3.86,709,1.37
2012,자전거사고,1318,257,1.99,2,0.69,0.78,266,2.03
2012,야간사고,1318,1700,1.59,30,1.07,1.76,2571,1.55
2012,어린이사고,1319,76,0.61,1,1.2,1.32,109,0.7
2012,노인사고,1319,101,0.36,3,0.16,2.97,109,0.37
2012,보행자사고,1319,238,0.47,6,0.3,2.52,243,0.47
2012,자전거사고,1319,34,0.26,0,0,0,34,0.26
2012,야간사고,1319,554,0.52,17,0.61,3.07,868,0.52
2012,어린이사고,1320,9,0.07,0,0,0,11,0.07
2012,노인사고,1320,33,0.12,6,0.32,18.18,38,0.13
2012,보행자사고,1320,29,0.06,3,0.15,10.34,27,0.05
2012,자전거사고,1320,7,0.05,2,0.69,28.57,5,0.04
2012,야간사고,1320,56,0.05,7,0.25,12.5,77,0.05
2012,어린이사고,1321,50,0.4,2,2.41,4,67,0.43
2012,노인사고,1321,107,0.38,7,0.38,6.54,125,0.42
2012,보행자사고,1321,137,0.27,11,0.54,8.03,133,0.26
2012,자전거사고,1321,29,0.22,2,0.69,6.9,27,0.21
2012,야간사고,1321,375,0.35,22,0.78,5.87,633,0.38
2012,어린이사고,1322,30,0.24,0,0,0,41,0.26
2012,노인사고,1322,57,0.2,5,0.27,8.77,65,0.22
2012,보행자사고,1322,59,0.12,4,0.2,6.78,61,0.12
2012,자전거사고,1322,14,0.11,0,0,0,15,0.11
2012,야간사고,1322,121,0.11,9,0.32,7.44,231,0.14
2012,어린이사고,1323,33,0.26,0,0,0,47,0.3
2012,노인사고,1323,80,0.28,6,0.32,7.5,97,0.33
2012,보행자사고,1323,67,0.13,5,0.25,7.46,67,0.13
2012,자전거사고,1323,20,0.15,0,0,0,20,0.15
2012,야간사고,1323,148,0.14,11,0.39,7.43,232,0.14
2012,어린이사고,1324,56,0.45,0,0,0,83,0.54
2012,노인사고,1324,136,0.48,14,0.75,10.29,149,0.5
2012,보행자사고,1324,152,0.3,10,0.49,6.58,152,0.29
2012,자전거사고,1324,26,0.2,1,0.35,3.85,29,0.22
2012,야간사고,1324,480,0.45,18,0.64,3.75,761,0.46
2012,어린이사고,1325,192,1.54,1,1.2,0.52,262,1.69
2012,노인사고,1325,243,0.86,19,1.02,7.82,253,0.85
2012,보행자사고,1325,500,0.98,27,1.33,5.4,524,1.01
2012,자전거사고,1325,93,0.72,4,1.38,4.3,90,0.69
2012,야간사고,1325,1270,1.19,40,1.43,3.15,2111,1.27
2012,어린이사고,1326,58,0.46,1,1.2,1.72,92,0.59
2012,노인사고,1326,117,0.42,12,0.64,10.26,122,0.41
2012,보행자사고,1326,136,0.27,15,0.74,11.03,131,0.25
2012,자전거사고,1326,31,0.24,4,1.38,12.9,27,0.21
2012,야간사고,1326,396,0.37,28,1,7.07,746,0.45
2012,어린이사고,1327,47,0.38,0,0,0,58,0.37
2012,노인사고,1327,120,0.43,12,0.64,10,127,0.43
2012,보행자사고,1327,176,0.34,17,0.84,9.66,168,0.32
2012,자전거사고,1327,23,0.18,0,0,0,24,0.18
2012,야간사고,1327,465,0.43,20,0.71,4.3,710,0.43
2012,어린이사고,1330,25,0.2,1,1.2,4,38,0.25
2012,노인사고,1330,88,0.31,5,0.27,5.68,89,0.3
2012,보행자사고,1330,105,0.21,4,0.2,3.81,115,0.22
2012,자전거사고,1330,39,0.3,2,0.69,5.13,37,0.28
2012,야간사고,1330,211,0.2,8,0.29,3.79,305,0.18
2012,어린이사고,1332,7,0.06,0,0,0,8,0.05
2012,노인사고,1332,16,0.06,0,0,0,19,0.06
2012,보행자사고,1332,33,0.06,1,0.05,3.03,33,0.06
2012,자전거사고,1332,13,0.1,0,0,0,13,0.1
2012,야간사고,1332,99,0.09,2,0.07,2.02,217,0.13
2012,어린이사고,1333,53,0.42,0,0,0,60,0.39
2012,노인사고,1333,55,0.2,2,0.11,3.64,59,0.2
2012,보행자사고,1333,214,0.42,5,0.25,2.34,220,0.43
2012,자전거사고,1333,25,0.19,1,0.35,4,24,0.18
2012,야간사고,1333,354,0.33,9,0.32,2.54,523,0.32
2012,어린이사고,1334,141,1.13,1,1.2,0.71,172,1.11
2012,노인사고,1334,201,0.71,15,0.8,7.46,208,0.7
2012,보행자사고,1334,414,0.81,21,1.04,5.07,424,0.82
2012,자전거사고,1334,49,0.38,2,0.69,4.08,48,0.37
2012,야간사고,1334,810,0.76,28,1,3.46,1328,0.8
2012,어린이사고,1335,50,0.4,0,0,0,64,0.41
2012,노인사고,1335,55,0.2,4,0.21,7.27,61,0.21
2012,보행자사고,1335,169,0.33,4,0.2,2.37,176,0.34
2012,자전거사고,1335,31,0.24,1,0.35,3.23,30,0.23
2012,야간사고,1335,357,0.33,8,0.29,2.24,518,0.31
2012,어린이사고,1336,16,0.13,0,0,0,21,0.14
2012,노인사고,1336,36,0.13,1,0.05,2.78,45,0.15
2012,보행자사고,1336,64,0.13,3,0.15,4.69,65,0.13
2012,자전거사고,1336,16,0.12,0,0,0,16,0.12
2012,야간사고,1336,220,0.21,2,0.07,0.91,370,0.22
2012,어린이사고,1337,32,0.26,0,0,0,46,0.3
2012,노인사고,1337,70,0.25,3,0.16,4.29,78,0.26
2012,보행자사고,1337,107,0.21,4,0.2,3.74,109,0.21
2012,자전거사고,1337,46,0.36,1,0.35,2.17,48,0.37
2012,야간사고,1337,284,0.27,12,0.43,4.23,487,0.29
2012,어린이사고,1401,141,1.13,0,0,0,179,1.16
2012,노인사고,1401,260,0.92,9,0.48,3.46,295,0.99
2012,보행자사고,1401,394,0.77,8,0.39,2.03,413,0.8
2012,자전거사고,1401,117,0.91,3,1.04,2.56,115,0.88
2012,야간사고,1401,819,0.76,14,0.5,1.71,1337,0.81
2012,어린이사고,1402,172,1.38,0,0,0,229,1.48
2012,노인사고,1402,286,1.01,22,1.18,7.69,299,1.01
2012,보행자사고,1402,428,0.84,23,1.13,5.37,435,0.84
2012,자전거사고,1402,106,0.82,3,1.04,2.83,106,0.81
2012,야간사고,1402,1144,1.07,27,0.96,2.36,1992,1.2
2012,어린이사고,1403,20,0.16,0,0,0,23,0.15
2012,노인사고,1403,74,0.26,4,0.21,5.41,84,0.28
2012,보행자사고,1403,91,0.18,2,0.1,2.2,94,0.18
2012,자전거사고,1403,18,0.14,1,0.35,5.56,17,0.13
2012,야간사고,1403,157,0.15,3,0.11,1.91,240,0.14
2012,어린이사고,1404,86,0.69,2,2.41,2.33,109,0.7
2012,노인사고,1404,176,0.62,12,0.64,6.82,186,0.63
2012,보행자사고,1404,274,0.54,13,0.64,4.74,279,0.54
2012,자전거사고,1404,71,0.55,0,0,0,76,0.58
2012,야간사고,1404,519,0.48,19,0.68,3.66,798,0.48
2012,어린이사고,1405,42,0.34,0,0,0,50,0.32
2012,노인사고,1405,55,0.2,2,0.11,3.64,57,0.19
2012,보행자사고,1405,108,0.21,0,0,0,113,0.22
2012,자전거사고,1405,19,0.15,1,0.35,5.26,18,0.14
2012,야간사고,1405,251,0.23,2,0.07,0.8,429,0.26
2012,어린이사고,1406,17,0.14,0,0,0,18,0.12
2012,노인사고,1406,29,0.1,1,0.05,3.45,31,0.1
2012,보행자사고,1406,52,0.1,3,0.15,5.77,53,0.1
2012,자전거사고,1406,3,0.02,0,0,0,4,0.03
2012,야간사고,1406,61,0.06,4,0.14,6.56,94,0.06
2012,어린이사고,1407,19,0.15,0,0,0,28,0.18
2012,노인사고,1407,73,0.26,3,0.16,4.11,92,0.31
2012,보행자사고,1407,48,0.09,3,0.15,6.25,51,0.1
2012,자전거사고,1407,19,0.15,1,0.35,5.26,18,0.14
2012,야간사고,1407,138,0.13,3,0.11,2.17,224,0.14
2012,어린이사고,1412,31,0.25,0,0,0,44,0.28
2012,노인사고,1412,65,0.23,13,0.7,20,77,0.26
2012,보행자사고,1412,66,0.13,5,0.25,7.58,65,0.13
2012,자전거사고,1412,15,0.12,1,0.35,6.67,22,0.17
2012,야간사고,1412,119,0.11,10,0.36,8.4,183,0.11
2012,어린이사고,1413,12,0.1,0,0,0,14,0.09
2012,노인사고,1413,47,0.17,5,0.27,10.64,61,0.21
2012,보행자사고,1413,22,0.04,4,0.2,18.18,25,0.05
2012,자전거사고,1413,4,0.03,0,0,0,4,0.03
2012,야간사고,1413,51,0.05,9,0.32,17.65,84,0.05
2012,어린이사고,1415,12,0.1,4,4.82,33.33,53,0.34
2012,노인사고,1415,31,0.11,2,0.11,6.45,36,0.12
2012,보행자사고,1415,22,0.04,3,0.15,13.64,19,0.04
2012,자전거사고,1415,4,0.03,0,0,0,4,0.03
2012,야간사고,1415,49,0.05,5,0.18,10.2,79,0.05
2012,어린이사고,1416,29,0.23,0,0,0,37,0.24
2012,노인사고,1416,37,0.13,5,0.27,13.51,41,0.14
2012,보행자사고,1416,32,0.06,1,0.05,3.13,33,0.06
2012,자전거사고,1416,4,0.03,0,0,0,5,0.04
2012,야간사고,1416,63,0.06,2,0.07,3.17,125,0.08
2012,어린이사고,1417,7,0.06,0,0,0,9,0.06
2012,노인사고,1417,27,0.1,1,0.05,3.7,42,0.14
2012,보행자사고,1417,24,0.05,2,0.1,8.33,23,0.04
2012,자전거사고,1417,1,0.01,0,0,0,1,0.01
2012,야간사고,1417,59,0.06,2,0.07,3.39,111,0.07
2012,어린이사고,1418,15,0.12,0,0,0,16,0.1
2012,노인사고,1418,45,0.16,7,0.38,15.56,55,0.19
2012,보행자사고,1418,27,0.05,3,0.15,11.11,28,0.05
