CCTV 유형코드,설치위치_도로명주소,설치위치_위도,설치위치_경도
B,수청로 79-20,37.174317,127.053533
B,,37.147756,127.048758
B,오산로226번길 25,37.147361,127.071119
B,,37.135121,127.07261799999999
C,,37.152479,127.07675400000001
C,,37.153169,127.07801200000002
C,,37.129998,127.070552
C,,37.131303,127.071367
C,,37.141565,127.08998999999999
C,부원로87번길 7-6 ,37.142138,127.090228
C,오산로132번길 27,37.139607,127.071821
C,오산로132번길 27,37.139030,127.071779
C,,37.134118,127.083532
C,,37.133146,127.085053
C,,37.161777,127.063024
C,청학로173번길 14,37.164177,127.06236200000001
C,,37.191512,127.058175
C,,37.192397,127.059129
A,,37.178407,127.053599
A,,37.174982,127.05066000000001
A,수청로 187,37.177278,127.046499
A,,37.173912,127.046846
A,,37.176655,127.04756699999999
A,,37.171515,127.04751599999999
A,,37.171185,127.052654
A,오산대역로132번길 32,37.169069,127.059293
A,,37.174339,127.05976399999999
A,오산대역로132번길 60  ,37.169703,127.05883899999999
A,,37.171105,127.06143300000001
A,,37.168337,127.068556
A,내삼미로80번길 36,37.167209,127.068331
A,,37.169778,127.068148
A,,37.169154,127.065352
A,,37.170470,127.065091
A,,37.189223,127.048106
A,,37.185832,127.048842
A,유엔평화로16번길 21,37.187175,127.049646
A,,37.187857,127.04426399999998
A,,37.186369,127.04445600000001
A,,37.186773,127.04163100000001
A,,37.185868,127.04297700000001
A,세마역로 41번길 7 ,37.183817,127.044054
A,세마역로19번길 18-3,37.182216,127.044005
A,,37.181278,127.04486899999999
A,수목원로 577-15 ,37.181160,127.041175
A,,37.180054,127.04188
 B,,37.181876,127.04898600000001
B,,37.179273,127.052035
B,,37.177742,127.054426
B,수목원로 449,37.173724,127.04978600000001
B,,37.175990,127.05519199999999
B,,37.173262,127.064778
B,,37.172862,127.063131
B,,37.173543,127.06896
B,,37.188015,127.048102
B,,37.177660,127.04386000000001
C,,37.174768,127.046604
C,,37.172210,127.049558
C,,37.171047,127.04948200000001
C,수청로 75-14,37.173971,127.05526499999999
C,,37.170135,127.054978
C,,37.184519,127.044844
C,,37.183286,127.040751
A,경기대로 307 ,37.152641,127.072992
A,역광장로83번길 16,37.148871,127.067394
A,말머리로21번길 9,37.140651,127.075024
A,부원로87번길 128,37.138455,127.08623999999999
A,성산새싹16번길 28,37.151916,127.066943
A,청학로43번길 4,37.153312,127.062744
A,청학로43번길 26 ,37.151869,127.061493
A,오산로 345,37.157506,127.06708
A,,37.173956,127.010173
A,서랑로105번길 32 ,37.174166,127.00673700000002
A,,37.197908,127.03657199999999
A,서부로2번길 49 ,37.129371,127.045217
B,동부대로 332-14 ,37.129373,127.081026
B,동부대로 332-14 ,37.131190,127.08241799999999
B,남부대로 464-31,37.130683,127.083276
B,궐리사로29번길 35,37.160653,127.05781599999999
B,궐리사로46번길 22,37.159332,127.056794
B,법원로15번길 41-14,37.155598,127.054731
B,,37.159892,127.063652
B,내삼미로 36-6 ,37.165838,127.068615
C,,37.155427,127.079306
C,남부대로 323,37.136027,127.070051
C,남부대로441번길 21,37.135736,127.08465
C,오산로226번길 25 ,37.147054,127.07097399999999
C,,37.143141,127.075624
C,남부대로441번길 19 ,37.135465,127.08443799999999
C,운천로 16-22,37.149361,127.06586499999999
C,법원로 65,37.159183,127.058793
C,가장산업동로 46 ,37.162570,127.04035800000001
C,은여울로 17,37.157514,127.06815
C,수청로 22,37.172180,172.058905
C,,37.172203,127.05487600000001
C,,37.163418,127.06844699999999
C,수청로 79-8,37.175120,127.05520800000001
C,수청로 204-26 ,37.178752,127.04326200000001
C,수청로 204-20,37.178210,127.04509099999999
C,수목원로 577-18,37.183170,127.03988400000001
C,,37.198166,127.061699
C,북삼미로 259-18,37.197895,127.057952
C,,37.197967,127.032207
C,,37.177989,127.05228500000001
A,,37.156580,127.07446200000001
A,성호대로93번길 34,37.151825,127.07173
A,,37.155552,127.091974
A,동부대로568번길 88,37.152743,127.088994
A,,37.150116,127.087753
A,경기대로25번길 23-4 ,37.130240,127.0688
A,대원로29번길 6,37.147033,127.072686
A,대호로71번길 28 ,37.158249,127.053634
A,은여울로17번길 18 ,37.158802,127.069252
B,발안로 1419-11,37.145195,127.05101499999999
C,운천로165번길 31-20 ,37.156782,127.07640400000001
C,오산로 123-13,37.137946,127.067456
C,,37.130608,127.072204
C,경기대로416번길 50 ,37.161685,127.07114399999999
C,수청로 65-5 ,37.174770,127.056776
A,경기대로281번길 19 ,37.151149,127.072787
A,성호대로93번길 12-2 ,37.149900,127.07259099999999
A,역광장로 44,37.144635,127.06766599999999
A,역광장로 15 ,37.142415,127.06689399999999
A,오산로62번길 8 ,37.132018,127.069607
A,원동로7번길 18 ,37.143781,127.069337
A,오산로190번길 28 ,37.143883,127.071527
A,,37.147561,127.070251
A,가장로530번길 3,37.159784,127.037971
A,성호대로33번길 26,37.152558,127.06628899999998
A,,37.148568,127.063426
A,성호대로40번길 26,37.147053,127.06567
A,대호로117번길 26 ,37.162040,127.05373
A,궐리사로59번길 6-13,37.159309,127.059941
A,궐동로69번길 29 ,37.157049,127.064369
A,궐동로69번길 113 ,37.157314,127.06018600000002
A,,37.156888,127.061751
A,법원로 53,37.158601,127.05746200000002
A,궐리사로46번길 44 ,37.157971,127.05774699999999
A,대호로71번길 48-2,37.159578,127.05363799999999
A,대호로62번길 63 ,37.157464,127.05463799999998
A,오산로 327,37.155966,127.067714
A,청학로 118-6 ,37.159593,127.064872
A,경기대로 398-3 ,37.159807,127.07039499999999
A,수청로50번길 45 ,37.176145,127.056762
A,수청로50번길 25-7 ,37.175829,127.056775
A,수청로50번길 10 ,37.174560,127.058596
A,양산로398번길 58-5,37.192246,127.03393600000001
A,양산 398번길 10-7 ,37.194802,127.029504
A,양산로348번길 40 ,37.195726,127.02758200000001
C,양산로 362,37.195530,127.02461699999999
A,한신대길 124,37.195976,127.023178
A,양산로 410번길 34 ,37.194251,127.032448
C,,37.139578,127.05301999999999
A,황새로 29-38 ,37.133166,127.048502
A,서동로19번길 68 ,37.141527,127.03191799999999
A,서동로 65,37.145903,127.038179
C,,37.160153,127.077579
B,운천로165번길 33,37.157136,127.07709399999999
B,,37.151640,127.075419
B,경기대로 52-11,37.129171,127.07459399999999
BC,남부대로441번길 33-10,37.137576,127.083767
B,,37.133061,127.07367099999999
B,수청로50번길 4-9,37.174191,127.058553
B,,37.177936,127.045515
B,,37.174164,127.050229
B,,37.184754,127.048527
B,,37.180621,127.04405700000001
B,,37.187097,127.040176
B,,37.180398,127.04346100000001
B,,37.195669,127.032073
C,운천로 171,37.156124,127.077624
C,오산로 91-28 ,37.135656,127.06718000000001
C,오산로 70,37.133063,127.06924599999999
C,오산로132번길 28-5,37.138107,127.07207700000001
C,경기대로 102-5,37.133820,127.07318799999999
C,동부대로436번길 29,37.140406,127.08102099999999
C,경기대로 97,37.133415,127.072348
C,남부대로 464-9 ,37.132407,127.08390800000001
C,궐리사로29번길 28-8 ,37.160997,127.056975
C,현충로72번길 32-8 ,37.160507,127.07200700000001
C,문헌공로 37,37.176029,127.05363100000001
C,청학로173번길 12 ,37.164250,127.062728
C,매홀로77번길 34 ,37.163528,127.05876799999999
C,큰말25번길 18,37.187809,127.034374
C,외삼미로 135,37.197309,127.06069
C,초평로 35,37.144136,127.04245700000001
C,수목원로49번길 49 ,37.140349,127.04953400000001
A,운천로 80-17 ,37.149369,127.07546
A,오산로 49-16 ,37.132301,127.06811299999998
A,남부대로 411-15 ,37.138082,127.081333
C,은여울로 17,37.157264,127.06921100000001
A,매홀로 89-2,37.165703,127.061954
D,법원로 15번길 71 ,37.154979,127.05546100000001
D,대호로 69,37.156290,127.05418700000001
A,동부대로568번길 24,37.152393,127.082448
A,원동로7번동길 12,37.143402,127.07060700000001
A,경기대로 25,37.128555,127.06866699999999
A,경기대로25번길 23,37.130240,127.06766699999999
A,오산천로182번길 13,37.150502,127.065367
A,궐리사로 31,37.160222,127.055948
A,궐리사로46번길 66,37.158447,127.055053
A,오산로 380-6,37.160658,127.06601299999998
A,오산로368번길 25,37.161510,127.06836100000001
A,현충로72번길 40,37.159748,127.072167
B,,37.152294,127.088301
B,,37.155374,127.069708
B,,37.134321,127.066372
B,,37.172996,127.04498600000001
B,,37.172271,127.05158700000001
B,,37.171292,127.05028700000001
B,,37.162522,127.067879
B,,37.171737,127.05928
B,,37.170613,127.057818
B,,37.169204,127.05751000000001
B,오산대역로 222,37.170221,127.066616
B,,37.167996,127.067429
B,,37.141516,127.05376000000001
B,,37.183226,127.043302
C,경기동로 41,37.158299,127.077374
C,시장길58번길 2,37.153991,127.069207
C,오산로300번길 33,37.153446,127.07292199999999
C,경기대로 75,37.131802,127.071401
C,가장로 709,37.153703,127.055163
C,궐리사로46번길 3,37.159846,127.057813
C,박동길 7,37.165190,127.06873200000001
C,수청로 11-17,37.170053,127.056496
C,청학로147번길 61-1,37.164622,127.06101799999999
C,눕새로 22,37.139534,127.054224
C,현충로 56,37.162499,127.074118
C,가수로 33,37.145512,127.049297
A,경기동로8번길 25,37.155875,127.074312
A,성호대로55번길 6,37.149521,127.0677
A,동부대로437번길 16,37.141661,127.076831
A,오산로198번길 20,37.144424,127.07054
A,성호대로 78,37.148358,127.0701
A,대원로15번길 7,37.147044,127.070034
A,청학로 5번길 20,37.154221,127.05821999999999
A,,37.178346,127.050249
A,,37.175550,127.050178
A,,37.175403,127.051309
A,,37.145134,127.087305
A,경기대로 261,37.147586,127.073477
A,오산로198번길 34,37.145048,127.07261799999999
A,대호로117번길 42-25,37.163430,127.053669
A,,37.160478,127.058047
A,법원로15번길 61,37.154826,127.05433799999999
A,,37.181551,127.06221799999999
A,,37.184264,127.03733100000001
A,,37.186244,127.041067
A,한신대133번길 48-3,37.194439,127.027847
B,,37.178351,127.04848
B,,37.178556,127.051369
B,,37.176771,127.04426399999998
B,,37.175970,127.057102
B,,37.171191,127.063725
B,,37.173666,127.06793200000001
B,,37.168910,127.064347
B,,37.179223,127.04104299999999
B,,37.192859,127.03499099999999
C,시장길 38,37.152367,127.068527
C,시장길 6-3,37.149563,127.06913899999999
C,동부대로 291-26,37.127435,127.07740600000001
C,궐리사로29번길 18,37.160580,127.05631399999999
C,궐리사로59번길 25-7,37.159619,127.06172600000001
C,청학로 48,37.153144,127.063468
C,내삼미로 127,37.17334,127.065449
C,현충로 63-11,37.162777,127.07571399999999
C,,37.161921,127.075519
C,독산성로 140-24,37.179298,127.016879
C,외삼미로 60-11,37.191235,127.059513
C,눕새로 6,37.140360,127.05293799999998
C,음양1길 10-52,37.142729,127.03568200000001
A,,37.151971,127.085131
A,,37.139776,127.08331100000001
A,,37.140939,127.07846200000002
A,,37.151274,127.06160200000001
A,,37.151962,127.034081
A,,37.155548,127.07173300000001
A,,37.151527,127.07356399999999
A,운암로 123 ,37.156973,127.078635
A,,37.13375,127.069122
C,,37.133327,127.08458999999999
A,운천로 15 ,37.144042,127.074261
A,,37.136874,127.078152
A,,37.140668,127.08589099999999
A,,37.132585,127.08545
A,,37.156508,127.04050500000001
A,대호로 157,37.163781,127.05404899999999
A,법원로 52 ,37.157581,127.057955
A,,37.156433,127.053817
A,,37.135188,127.061456
A,,37.153162,127.06623200000001
A,,37.15271,127.057348
A,,37.162702,127.058171
A,,37.171085,127.04554399999999
B,,37.174543,127.04484599999999
A,삼미로47번길 3 ,37.175729,127.065556
A,,37.177979,127.057748
A,,37.181605,127.05761499999998
A,,37.166507,127.067315
A,,37.163299,127.07186499999999
A,은여울로43번길 4,37.158658,127.071579
A,큰말25번길 2,37.186654,127.03551100000001
A,,37.184491,127.009398
A,,37.199620,127.031223
A,양산로410번길 16,37.195231,127.03079199999999
A,,37.188279,127.05466899999999
A,,37.178083,127.02376699999999
A,서랑로214번길 2,37.173489,127.021952
C,,37.144994,127.049144
A,가수로 89,37.147633,127.044471
B,,37.150966,127.076783
B,,37.129545,127.07188899999998
B,,37.134469,127.079596
B,,37.144845,127.07699299999999
B,,37.167531,127.032025
B,,37.181115,127.049908
B,,37.170223,127.048243
B,,37.168769,127.058976
B,,37.195261,127.03181599999999
B,,37.197599,127.03605
C,부산동길 12,37.148574,127.084419
C,동부대로 468-16,37.143652,127.080343
C,청학로 45,37.153571,127.063359
C,매홀로77번길 11,37.164179,127.06101899999999
C,오산대역로 222,37.171228,127.066673
C,발안로 1419-11,37.145908,127.052701
C,누읍로46번길 25,37.139648,127.052508
C,눕새로 8-20,37.13922,127.05353799999999
C,초평로 55,37.145138,127.04416100000002
C,서동로 123-9,37.151313,127.039226
A,,37.195541,127.01936
A,지곶43번길 41,37.178831,127.026556
A,대호로62번길 3,37.156612,127.05538999999999
A,,37.14254,127.057212
A,오산로190번길 36,37.143902,127.072593
A,남부대로485번길 7,37.131566,127.08728700000002
A,남부대로 495,37.130848,127.088407
A,밀머리로1번길 26-8 ,37.141046,127.076073
A,밀머리로 27,37.139507,127.07473300000001
A,현충로60번길 19,37.161801,127.072181
A,경기동로8번길 14,37.155148,127.074037
A,,37.150852,127.06388999999999
A,,37.199665,127.037057
A,황새로 187,37.143027,127.061702
A,,37.197692,127.03454599999999
A,,37.148274,127.075884
A,성호대로 130 ,37.14672,127.074821
A,부산동길 74-6,37.152218,127.08986599999999
A,성호대로55번길 36-1 ,37.151658,127.068375
A,대원로 14 ,37.146522,127.070024
A,서랑로 148,37.173655,127.01468500000001
A,역광장로 1 ,37.142182,127.068451
A,청학로147번길 31,37.162342,127.06119
A,성호대로93번길 38,37.15219,127.07166399999998
A,서동로 116-3,37.150388,127.03929
A,궐동로7번길 3-10,37.158922,127.05463300000001
A,궐동로7번길 19,37.159865,127.055051
A,궐리사로46번길 64-12 ,37.159494,127.055601
B,,37.150939,127.089922
B,,37.1526,127.090848
C,부산중앙로 37,37.152077,127.09152399999999
A,,37.193738,127.059996
A,오산로348번길 14-1,37.157953,127.06871699999999
A,,37.17312,127.05467900000001
A,성호대로 27-6,37.149753,127.064508
A,,37.173652,127.001727
A,,37.162859,127.07258
A,궐리사로 5,37.160614,127.053288
A,수청로106번길 6-1,37.177215,127.05342399999999
A,한신대133번길 17,37.194935,127.02528500000001
A,수청로 32,37.172778,127.058167
B,,37.169139,127.02613500000001
B,,37.168597,127.026491
B,,37.168857,127.026854
C,,37.169191,127.026973
C,,37.170237,127.028031
A,,37.183515,127.038699
A,,37.185917,127.03273300000001
A,,37.176851,127.02631799999999
A,,37.14624,127.075322
A,오산로 257,37.150063,127.06843799999999
A,오산로198번길 8,37.144494,127.069305
A,,37.178607,127.02063999999999
A,,37.17753,127.068913
A,,37.174971,127.00540900000001
A,,37.181307,127.00566599999999
A,,37.191166,127.054616
A,,37.147897,127.06783300000001
C,,37.134385,127.084476
A,,37.182433,127.04331699999999
A,,37.170704,127.06059499999999
A,,37.154822,127.05591000000001
A,,37.142836,127.07324399999999
A,,37.19607,127.04748300000001
A,궐리사로 45-15,37.159575,127.058952
A,궐리사로 8,37.160074,127.05401599999999
A,법원로 37,37.156823,127.056899
A,대호로62번길 35,37.157812,127.05665900000001
A,,37.159863,127.05655300000001
A,,37.158508,127.056063
A,,37.194917,127.024883
A,,37.173218,127.058632
A,,37.170424,127.049925
A,,37.154784,127.06844299999999
A,,37.184991,127.04659299999999
A,,37.13161,127.07763200000001
A,,37.153583,127.057534
A,인수완료,37.142268,127.089757
B,인수예정,37.193283,127.062072
B,,37.193575,127.062569
B,,37.194156,127.06258600000001
B,,37.194319,127.06201899999999
B,,37.193989,127.061858
B,,37.193644,127.06175800000001
B,,37.189908,127.063244
B,,37.189819,127.063825
B,,37.190108,127.0643
B,,37.190058,127.064769
A,,37.192058,127.06135800000001
B,,37.159421,127.078951
B,,37.160281,127.080867
A,,37.159787,127.078492
A,,37.159042,127.07009199999999
A,,37.155592,127.067197
B,,37.152392,127.093317
A,공사중,37.147781,127.06410600000001
A,공사중,37.147464,127.063875
A,공사중,37.147461,127.06428899999999
A,공사중,37.149081,127.06608100000001
A,공사중,37.147903,127.065592
A,,37.19603474,127.0244648
A,,37.18822171,127.0593108
A,,37.16231805,127.0418686
A,,37.17102271,127.0596025
B,,37.16067421,127.0730629
A,9/15 영상확인가능,37.16134667,127.0746334
A,9/15 영상확인가능,37.18725047,127.04496780000001
A,9/15 영상확인가능,37.17320331,127.0665682
A,9/15 영상확인가능,37.14063934,127.0849866
A,9/15 영상확인가능,37.19526409,127.0272389
A,9/15 영상확인가능,37.15325973,127.06736709999998
A,9/15 영상확인가능,37.15571415,127.0762071
A,9/15 영상확인가능,37.13299295,127.0685864
A,공사중,37.1601168,127.06959590000001
A,공사중,37.17567381,127.0586548
A,공사중,37.19281367,127.0348748
A,공사중,37.13090834,127.07033909999998
A,공사중,37.15906484,127.0822656
A,공사중,37.19539463,127.02106609999998
A,공사중,37.14313256,127.0725634
A,공사중,37.1484713,127.07579779999999
A,공사중,37.13144947,127.0782398
A,공사중,37.17106399,127.04846299999998
A,공사중,37.16925742,127.0573788
A,공사중,37.19251165,127.06090520000001
A,공사중,37.17016004,127.0319827
A,공사중,37.14565608,127.0772271
A,공사중,37.18556412,127.04853999999999
A,공사중,37.17865645,127.04813440000001
A,공사중,37.15150559,127.06700490000001
A,공사중,37.18497593,127.0466652
A,공사중,37.14860776,127.07328079999999
A,공사중,37.14626735,127.0674392
A,공사중,37.1487307,127.068312
A,공사중,37.13539671,127.07246699999999
A,공사중,37.14515378,127.0682899
A,공사중,37.16220889,127.0529801
A,공사중,37.15833493,127.0539666
A,공사중,37.15570753,127.0562207
A,공사중,37.13952303,127.0726038
A,공사중,37.14854146,127.0810502
A,공사중,37.15443737,127.0693527
A,공사중,37.15441444,127.06961969999999
A,공사중,37.15483537,127.0691125
A,공사중,37.15461665,127.0702165
A,공사중,37.15433757,127.07319779999999
A,공사중,37.1546527,127.0715311
A,공사중,37.15335263,127.07175079999999
A,공사계획,37.17068508,127.04079779999999
A,공사계획,37.13029392,127.0436592
A,공사계획,37.18723559,127.0473128
E,다온초,127.0907478,37.15089232
E,다온초,127.0907478,37.15089232
E,오산숲유치원,127.083997,37.14833581
E,대호초,127.057906,37.15993649
E,성산초,127.065567,37.14948855
E,성호초,127.0700015,37.14909591
E,대원초,127.072728,37.13178054
E,원일초,127.0712368,37.13944514
E,운천초,127.0780479,37.15623915
E,운산초,127.0762093,37.152348

