일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),일 최심적설(cm),평균 지면온도(°C)
2010/08/01,28.1,25.8,32.1,0.1,3.9,1.8,84.9,,29.4
2010/08/02,26.7,23.5,30.8,1.0,2.9,1.5,86.3,,28.6
2010/08/03,27.0,22.5,31.8,,2.5,0.9,69.9,,28.3
2010/08/04,27.5,23.6,33.0,17.5,5.3,0.9,86.6,,28.0
2010/08/05,29.0,25.5,34.2,18.5,5.8,1.9,84.9,,30.9
2010/08/06,27.8,26.2,32.0,14.5,3.8,1.5,91.3,,29.5
2010/08/07,27.0,25.1,30.0,4.0,3.2,1.2,91.8,,28.2
2010/08/08,27.7,23.9,32.9,,4.5,1.5,78.1,,29.6
2010/08/09,29.0,24.3,33.9,,3.3,1.5,72.0,,30.8
2010/08/10,27.2,24.5,31.3,18.0,4.2,2.0,87.3,,27.3
2010/08/11,28.5,25.8,33.2,0.2,5.0,2.4,80.1,,28.7
2010/08/12,24.4,22.6,27.3,4.5,3.7,1.7,90.6,,25.2
2010/08/13,26.6,22.6,29.1,12.5,4.6,1.9,96.4,,26.5
2010/08/14,27.1,24.0,29.5,27.0,6.5,1.8,93.5,,27.8
2010/08/15,27.1,24.5,30.8,31.0,6.7,2.4,89.1,,28.5
2010/08/16,25.1,22.6,27.1,1.5,2.9,1.0,88.1,,26.5
2010/08/17,26.5,21.4,32.5,0.0,2.5,0.9,75.0,,28.2
2010/08/18,25.9,22.7,31.8,54.0,7.3,1.6,92.0,,27.3
2010/08/19,29.1,24.9,34.1,,3.6,1.6,79.5,,30.4
2010/08/20,28.5,24.7,33.5,2.5,4.1,1.4,83.0,,30.5
2010/08/21,28.5,24.4,32.9,,3.2,1.2,80.0,,30.0
2010/08/22,28.8,25.0,33.3,0.0,4.7,1.8,81.4,,30.3
2010/08/23,26.1,24.8,27.8,27.5,4.1,1.5,95.0,,27.8
2010/08/24,24.1,21.9,25.2,17.0,2.6,1.0,94.0,,26.1
2010/08/25,23.1,21.6,24.3,5.5,4.1,1.7,94.3,,24.2
2010/08/26,25.8,22.8,29.3,1.5,4.4,2.3,90.1,,25.8
2010/08/27,28.1,24.1,32.4,0.0,5.0,2.1,79.3,,29.1
2010/08/28,26.9,25.4,29.5,4.0,6.5,2.9,84.5,,26.0
2010/08/29,24.3,22.3,26.7,97.5,4.0,1.4,96.4,,25.7
2010/08/30,26.0,23.3,30.1,2.0,3.3,1.1,83.8,,27.7
2010/08/31,25.0,22.9,28.1,11.0,3.3,1.0,91.5,,27.2
2010/09/01,27.4,22.4,33.7,8.5,5.6,2.4,83.0,,28.3
2010/09/02,25.0,22.9,28.0,19.0,15.9,4.8,90.1,,25.7
2010/09/03,26.2,22.8,31.6,1.0,3.7,1.6,87.6,,26.9
2010/09/04,27.3,22.9,31.9,,3.3,1.2,82.5,,28.9
2010/09/05,26.4,23.5,32.8,7.5,4.2,1.6,87.0,,27.6
2010/09/06,25.5,23.2,29.4,1.5,4.7,1.9,87.8,,26.5
2010/09/07,26.7,22.9,31.6,,5.7,3.0,66.6,,26.7
2010/09/08,22.8,21.4,25.4,0.4,3.9,2.5,67.3,,23.4
2010/09/09,21.9,19.2,23.9,18.5,3.7,2.3,95.3,,22.9
2010/09/10,24.7,22.6,28.4,41.0,4.7,2.3,95.8,,25.2
2010/09/11,24.3,22.7,28.2,81.0,3.8,1.4,94.8,,24.7
2010/09/12,23.4,22.0,26.1,55.5,3.3,1.5,92.1,,24.9
2010/09/13,23.9,20.2,28.3,,4.0,1.4,85.2,,25.4
2010/09/14,24.2,21.0,29.5,,2.1,0.8,83.0,,25.0
2010/09/15,24.8,19.2,31.3,,2.6,1.0,71.9,,25.4
2010/09/16,24.6,19.1,31.2,,3.5,1.4,73.5,,25.1
2010/09/17,23.8,19.6,29.4,,3.2,1.3,79.5,,24.9
2010/09/18,24.4,20.0,30.3,,3.6,1.2,73.0,,25.4
2010/09/19,20.8,18.3,22.8,10.0,3.9,1.6,90.9,,22.1
2010/09/20,22.0,19.6,24.8,34.5,2.5,1.0,93.8,,22.8
2010/09/21,23.7,19.9,27.8,96.0,6.1,2.2,96.8,,23.8
2010/09/22,17.5,15.3,20.0,0.0,3.7,1.7,88.3,,20.0
2010/09/23,17.1,12.4,23.5,,3.6,1.2,72.8,,20.0
2010/09/24,18.1,11.4,25.7,,3.2,1.1,67.6,,19.9
2010/09/25,18.7,13.2,25.1,,2.4,0.9,70.5,,20.3
2010/09/26,18.8,15.5,24.6,,3.2,1.7,70.3,,19.7
2010/09/27,19.0,14.0,24.3,,3.6,1.5,81.1,,19.9
2010/09/28,16.7,13.3,19.9,1.5,5.7,2.3,54.3,,18.8
2010/09/29,13.2,9.2,17.0,,2.8,1.0,72.1,,15.5
2010/09/30,14.1,7.7,21.4,,2.9,0.9,74.5,,16.3
2010/10/01,15.9,9.9,22.6,,2.8,0.8,76.0,,16.5
2010/10/02,17.0,13.3,21.0,16.5,5.0,2.0,86.4,,16.3
2010/10/03,18.2,15.4,23.1,6.0,6.7,2.3,83.5,,18.9
2010/10/04,14.7,13.0,18.5,5.0,3.6,1.7,85.4,,16.5
2010/10/05,15.3,11.2,20.1,,3.1,1.1,79.0,,17.9
2010/10/06,15.8,10.2,22.6,,3.5,0.7,79.6,,17.1
2010/10/07,17.4,11.1,24.3,,2.8,0.9,76.9,,18.1
2010/10/08,19.3,14.4,24.2,,3.5,1.2,72.5,,19.2
2010/10/09,19.5,15.6,24.7,,3.0,1.2,78.0,,19.8
2010/10/10,18.1,14.0,23.8,,4.3,1.2,86.6,,19.0
2010/10/11,18.4,15.7,21.5,,2.4,1.0,88.4,,19.1
2010/10/12,16.0,12.2,20.1,0.0,4.0,1.5,88.6,,17.7
2010/10/13,15.1,11.8,19.5,,2.6,0.9,85.1,,16.7
2010/10/14,15.2,9.9,20.5,,4.2,1.3,80.0,,16.3
2010/10/15,13.6,9.8,17.6,,4.8,2.1,54.4,,14.4
2010/10/16,16.1,9.7,22.4,0.0,5.7,1.7,73.9,,16.0
2010/10/17,15.3,10.7,20.3,2.5,2.8,1.0,79.9,,16.3
2010/10/18,13.2,7.5,20.2,,2.4,0.6,71.4,,14.0
2010/10/19,15.0,8.9,22.4,,4.2,1.0,76.5,,14.6
2010/10/20,14.6,11.1,21.2,,4.1,1.1,85.1,,15.0
2010/10/21,15.3,8.6,22.6,,3.0,0.8,80.3,,15.0
2010/10/22,16.5,11.6,23.5,,3.7,1.6,70.6,,15.7
2010/10/23,15.8,10.8,21.9,,4.2,1.5,75.5,,15.0
2010/10/24,17.4,14.1,23.4,,3.1,1.1,76.4,,16.5
2010/10/25,11.0,5.3,15.9,,8.0,3.7,53.8,,13.0
2010/10/26,4.9,2.2,8.7,,6.9,3.6,34.1,,7.4
2010/10/27,5.6,-1.6,12.3,,3.4,1.1,52.5,,6.5
2010/10/28,6.4,-0.4,12.6,,4.9,1.4,60.6,,7.0
2010/10/29,8.9,0.5,18.0,,3.4,0.9,57.4,,8.0
2010/10/30,10.9,4.5,19.0,,3.1,0.7,66.1,,10.1
2010/10/31,11.1,4.6,17.5,,2.8,0.8,70.8,,9.6
2010/11/01,11.2,4.2,17.0,,5.4,1.8,67.3,,10.1
2010/11/02,6.3,3.6,10.1,,4.7,2.7,41.5,,6.3
2010/11/03,6.6,-0.4,12.9,,3.8,1.2,66.6,,6.5
2010/11/04,9.3,3.4,16.0,,3.6,1.0,82.0,,8.0
2010/11/05,11.2,6.8,16.8,,3.5,1.1,89.1,,10.3
2010/11/06,11.9,10.2,15.2,,2.1,0.8,93.6,,11.9
2010/11/07,11.9,9.7,16.0,1.0,2.6,1.3,84.6,,12.6
2010/11/08,7.9,2.5,11.5,6.5,8.0,4.1,71.9,,7.7
2010/11/09,4.1,1.8,7.3,,6.6,3.9,50.9,,3.1
2010/11/10,3.5,-2.2,9.7,,2.6,0.8,64.8,,2.9
2010/11/11,9.8,1.0,15.6,3.5,8.1,3.0,63.6,,5.8
2010/11/12,9.2,4.8,13.2,1.5,5.8,2.1,71.8,,7.7
2010/11/13,10.7,3.3,18.0,,4.1,1.5,68.1,,7.8
2010/11/14,7.0,4.2,12.6,,5.4,3.1,44.6,,6.4
2010/11/15,2.7,-0.6,6.5,,6.0,2.5,43.8,,1.7
2010/11/16,3.1,-2.5,8.9,0.0,3.1,0.9,68.0,,2.4
2010/11/17,5.2,0.1,11.1,,2.8,0.7,81.6,,3.5
2010/11/18,5.0,-0.8,12.5,,3.4,0.8,76.1,,2.7
2010/11/19,4.0,-0.8,10.5,,3.0,0.6,79.5,,2.4
2010/11/20,7.6,1.1,15.3,,2.9,0.9,72.1,,5.0
2010/11/21,10.8,4.0,16.0,,3.1,1.1,77.6,,7.9
2010/11/22,7.7,2.6,13.1,0.0,6.1,2.8,55.8,,6.0
2010/11/23,4.9,-2.9,13.3,,2.7,0.7,65.1,,2.8
2010/11/24,5.4,0.9,11.3,,3.9,0.8,78.8,,4.3
2010/11/25,3.7,0.8,6.9,0.0,5.4,2.2,61.4,,2.9
2010/11/26,1.0,-1.9,6.0,,4.8,1.6,44.8,,0.5
2010/11/27,1.9,-1.9,9.5,5.5,8.5,2.7,60.8,,1.3
2010/11/28,-0.6,-4.6,2.8,0.1,5.9,2.0,50.8,0.2,-0.3
2010/11/29,3.2,-1.1,8.4,0.0,2.8,0.9,78.3,0.1,1.8
2010/11/30,7.2,2.1,13.9,0.0,3.1,0.6,87.4,,4.6
2010/12/01,7.1,4.0,12.5,,2.5,0.9,91.6,,6.4
2010/12/02,9.1,3.2,14.7,5.5,5.3,1.1,87.5,,6.7
2010/12/03,1.2,-1.6,8.2,,7.6,3.8,60.6,,2.1
2010/12/04,2.9,-4.1,8.9,,3.4,1.3,72.4,,1.7
2010/12/05,8.8,2.8,13.2,,1.6,0.6,80.6,,6.0
2010/12/06,4.2,-2.2,10.1,,5.2,2.7,66.3,,4.7
2010/12/07,-0.8,-4.5,4.2,,2.9,1.5,50.1,,-0.5
2010/12/08,0.5,-1.2,3.3,7.0,6.2,2.0,77.3,1.2,0.5
2010/12/09,-1.0,-3.5,2.8,,4.1,1.5,62.5,1.2,0.2
2010/12/10,3.5,-4.2,10.6,1.0,6.2,3.0,69.9,,1.2
2010/12/11,-1.8,-5.8,7.4,,7.3,3.5,47.1,,-0.2
2010/12/12,-1.0,-7.7,3.9,,4.5,1.9,44.9,,-1.4
2010/12/13,4.1,1.6,6.6,0.5,3.1,1.3,59.3,,0.5
2010/12/14,-2.6,-8.7,2.4,,6.0,3.2,55.6,,-0.7
2010/12/15,-9.0,-11.5,-5.3,,6.0,3.5,43.9,,-4.1
2010/12/16,-7.2,-12.7,-2.6,0.0,5.1,1.4,55.3,,-3.2
2010/12/17,-1.5,-5.0,2.4,4.4,3.3,1.5,83.5,4.2,-0.9
