무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
사상-교통-007,부산광역시,사상구,3,광장,광장로,3,부산광역시 사상구 광장로 94,,35.16173555,128.9869706,괘법동 홍소족발 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-008,부산광역시,사상구,3,광로2-2,사상로,3,부산광역시 사상구 사상로 299,,35.17152015,128.982924,덕포동 덕포시장 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-009,부산광역시,사상구,3,대로3-80,사상로367번길,3,부산광역시 사상구 사상로367번길 35,,35.17759771,128.9831419,덕포동 북부면허시험장 앞 4거리,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-010,부산광역시,사상구,3,대로2-5,백양대로,3,부산광역시 사상구 백양대로 520,,35.15486107,128.996178,주례동 스타벅스앞(백양대로),4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-011,부산광역시,사상구,3,대로1-5,강변대로456번길,3,부산광역시 사상구 강변대로456번길 34-31,,35.12376431,128.9643736,엄궁동 그린산단 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-012,부산광역시,사상구,3,대로2-5,백양대로,3,부산광역시 사상구 백양대로 762,,35.17476465,128.9886223,덕포동 백양대로762 상주종합인테리아(효성프라임요양병원) 앞,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-013,부산광역시,사상구,7,소로1-6,엄궁북로,3,부산광역시 사상구 엄궁로191번길 23(엄궁초등학교 정문옆 교차로),,35.12918509,128.9743982,엄궁동 엄궁초교 정문옆 4거리,4,30,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-014,부산광역시,사상구,7,중로3-96,엄궁북로,3,부산광역시 사상구 엄궁북로 62(롯데캐슬 상가앞 교차로),,35.1278007,128.9748518,엄궁동 롯데캐슬 상가 4거리,4,30,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-015,부산광역시,사상구,3,광장,사상로,3,부산광역시 사상구 사상로 201,,35.1631457,128.9809868,괘법동 아울렛(별관)앞 사상로,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-016,부산광역시,사상구,3,광장,광장로,3,부산광역시 사상구 광장로 46(파라곤호텔),,35.16169001,128.9816099,괘법동 사상터미널건너편,4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-017,부산광역시,사상구,3,광장,광장로,3,부산광역시 사상구 광장로 87,,35.1629828529,128.9860903,괘법동 사상경전철역 옆(일등정비공업사앞),4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-018,부산광역시,사상구,3,대로2-9,농산물시장로,3,부산광역시 사상구 농산물시장로 17(엄궁농산물도매시장 부산청과 옆 회전교차로 위),,35.12880902,128.966048,엄궁동 부산청과 회전교차로위(강변대로방향),4,50,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
사상-교통-019,부산광역시,사상구,7,중로2-347,낙동대로1210번길,3,부산광역시 사상구 낙동대로1210번길 34,,35.16668135,128.9781039087,"괘법동 한신1,2차,LH아파트 사이 4거리",4,30,,,,,부산 사상구청,051-310-4506,2020-09-16,3390000,부산광역시 사상구
F8151,인천광역시,서구,기타,97번,보듬로,2,,인천 서구 보듬로 서진이엔지 건너편 (폐수종말처리장 → 지식산업단지),37.58969672,126.6069444,인천 서구 보듬로 서진이엔지 건너편 (폐수종말처리장 → 지식산업단지),2,50,,,,2015,인천지방경찰청,032-455-2352,2020-06-30,1322989,경찰청 인천광역시경찰청
F8492,전라남도,곡성군,일반국도,13번,입면로,3,,전라남도 곡성군 겸면 마전리 산 112-1,35.288187,127.169604,곡성군 겸면 마전리 산 112-1 연지마을앞(옥과→입면),1,60,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F8493,전라남도,완도군,일반국도,13번,완도로,3,,전라남도 완도군 군외면 황진리 산67-2,34.388244,126.684469,완도군 군외면 황전리 산67-2 불목저수지앞(해남→완도),1,80,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F8494,전라남도,진도군,일반국도,18번,진도대로,3,,전라남도 진도군 군내면 녹진리 283-16,34.554511,126.295248,진도군 군내면 녹진리 283-16 신동교차로(해남→진도),1,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F8495,전라남도,광양시,고속국도,10번,남해고속도로 하행로,2,,전라남도 광양시 옥곡면 선유리 196-1,34.976784,127.669214,광양시 옥곡면 선유리 196-1 남해고속도로 20K(광양→진주),1,100,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
10,9,안성시,4,없음,고수2로,2,,경기도 안성시 석정동 132-5,37.011419,127.257681,석정동 132-5,1,30,,45,01,2019,안성시청,031-678-2815,2020-03-22,4080000,경기도 안성시
F8999,전라남도,목포시,시도,0번,용당로,3,,전라남도 목포시 용해동 608-297,34.822172,126.397511,목포시 용해동 608-297 대양산단사거리(대양산단→대연초),2,60,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9000,전라남도,나주시,지방도,822번,지석로,3,,전라남도 나주시 남평읍 동사리 321,35.041925,126.845448,나주시 남평읍 동사리 321 남평초등학교앞(남평→능주),1,30,,,2,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9001,전라남도,나주시,일반국도,1번,영산로,3,,전라남도 나주시 금천면 석전리263-56,35.024481,126.776139,나주시 금천면 석전리263-56 혁신도시 우미린옆(영암→광주),1,90,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9057,전라남도,무안군,일반국도,1번,영산로,3,,전라남도 무안군 삼향읍 지산리 549,34.874984,126.424279,무안군 삼향읍 지산리 549번지 지산교차로(목포→무안),1,80,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9120,전라남도,영광군,일반국도,77번,해안로,3,,전라남도 영광군 백수읍 구수리 400,35.364191,126.419444,영광군 백수읍 구수리 400번지 영광대교(홍농→백수),1,40,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9142,전라남도,나주시,지방도,55번,동창로,3,,전라남도 나주시 남평읍 교원리 228-37,35.035686,126.836177,나주시 남평읍 교원리 228-37 교원교차로(남평→봉황),2,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9143,전라남도,나주시,지방도,55번,동창로,3,,전라남도 나주시 남평읍 교원리 228-18,35.035796,126.836268,나주시 남평읍 교원리 228-18 교원교차로(봉황→남평),2,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9144,전라남도,영암군,일반국도,13번,예향로,3,,전라남도 영암군 신북면 월평리 134-7,34.888103,126.689774,영암군 신북면 월평리 134-7번지 신북버스터미널(영암→나주),2,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9145,전라남도,영암군,일반국도,13번,예향로,3,,전라남도 영암군 신북면 이천리 739-2,34.881308,126.686609,영암군 신북면 이천리 739-2번지 구장터삼거리(영암→나주),2,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9146,전라남도,영암군,일반국도,13번,예향로,3,,전라남도 영암군 덕진면 덕진리 430-2,34.820288,126.696929,영암군 덕진면 덕진리 430-2번지 덕진초교사거리(나주→영암),2,70,,,,2016,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9503,전라남도,목포시,시도,0번,영산로,3,,전라남도 목포시 용당동 993-3,34.806107,126.403851,목포시 용당동 993-3 이로사거리(버스터미널→목포역),2,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9504,전라남도,목포시,일반국도,1번,고하대로,3,,전라남도 목포시 산정동 1192-20,34.807737,126.371599,목포시 산정동 1192-20 신안비치사거리(목포→영암),2,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9505,전라남도,목포시,시도,0번,양을로,3,,전라남도 목포시 상동 446-4,34.814391,126.416061,목포시 상동 446-4 효성요양병원(시청→하당),1,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9506,전라남도,목포시,일반국도,24번,해제지도로,3,,전라남도 신안군 지도읍 광정리 189-4,35.059968,126.231951,신안군 지도읍 광정리 189-4 북신안농협미곡처리장(해제→지도),1,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9507,전라남도,여수시,시도,0번,신월로,3,,전라남도 여수시 봉산동 200-7,34.736872,127.721473,여수시 봉산동 200-7 국동주유소앞(봉산동→신월동),2,50,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9508,전라남도,여수시,시도,0번,무선로,3,,전라남도 여수시 화장동 799,34.778394,127.649967,여수시 화장동 799 롯데마트앞(시청→출입국),2,50,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9509,전라남도,여수시,일반국도,77번,상암로,3,,전라남도 여수시 호명동 684-2,34.815544,127.728511,여수시 호명동 684-2 고향식당(상암→둔덕동),1,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9510,전라남도,여수시,시도,0번,무선로,3,,전라남도 여수시 화장동 908,34.780211,127.647344,여수시 화장동 908 출입국관리사무소앞(출입국→시청),1,70,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9511,전라남도,순천시,시도,0번,여순로,3,,전라남도 순천시 해룡면 대안리 1192-14,34.928148,127.525292,순천시 해룡면 대안리 1192-14 대안삼거리(순천→여수),2,80,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9512,전라남도,순천시,시도,0번,인덕로,3,,전라남도 순천시 해룡면 선월리 915,34.901604,127.573887,순천시 해룡면 선월리 915 율촌산단(광양→여수),2,60,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
F9513,전라남도,순천시,일반국도,17번,순천로,3,,전라남도 순천시 황전면 괴목리 374-8,35.089424,127.421991,순천시 황전면 괴목리 374-8 망룡삼거리(구례→순천),2,80,,,,2017,전라남도지방경찰청,061-289-2153,2020-05-31,1327369,경찰청 전라남도경찰청
11,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 예천동 산 7-67,36.775017,126.438597,충의로 예천현대아파트 입구,99,60,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
12,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 지곡면 화천리 535-15,,,지곡면 충의로 화천교차로(화천슈퍼),99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
13,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 지곡면 대요리 410-5,36.891907,126.440131,지곡면 충의로 대요교차로,99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
14,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 팔봉면 진장리 804,36.775112,126.358177,팔봉면 서해로 수원낚시할인마트 앞,1,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
15,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 고북면 용암리 669-2,36.685365,126.537904,고북면 내포로 날새교차로,1,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
16,충청남도,서산시,기타,도시계획도로,도시계획도로,2,,충청남도 서산시 성연면 일람리 1079,36.824231,126.449951,성연면 성연3로 힐스테이트 앞 교차로 (서산→왕정리) / 성연초 앞,99,30,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
17,충청남도,서산시,기타,도시계획도로,도시계획도로,1,,충청남도 서산시 성연면 일람리 1079,36.824231,126.449951,성연면 성연3로 힐스테이트 앞 교차로 (왕정리→서산) /성연초 앞,99,30,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
18,충청남도,서산시,일반국도,국도 45호선,국도 45호선,1,,충청남도 서산시 해미면 대곡리 987,36.685398,126.579418,해미면 대곡리 원터로 원터교차로,99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
19,충청남도,서산시,일반국도,국도 32호선,국도 32호선,1,,충청남도 서산시 석림동 884,36.775231,126.464224,석림동 서해로 석림사거리(태안→당진),99,60,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
20,충청남도,서산시,기타,70호 국지도,70호 국지도,1,,충청남도 서산시 음암면 탑곡리 165,36.804351,126.550229,음암면 백제사신로 탑곡교차로 부근,1,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
21,충청남도,서산시,기타,70호 국지도,70호 국지도,1,,충청남도 서산시 음암면 문양리 266-18,36.828179,126.514426,음암면 백제사신로 문양교차로 (성연→서산IC),99,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
22,충청남도,서산시,기타,70호 국지도,70호 국지도,2,,충청남도 서산시 음암면 문양리 266-18,36.828179,126.514426,음암면 백제사신로 문양교차로 (서산IC→성연),99,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
23,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 예천동 483,36.772677,126.442032,예천동 서해로 예천사거리(당진→대산),99,60,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
24,충청남도,서산시,기타,도시계획도로,도시계획도로,2,,충청남도 서산시 예천동 1311,36.773678,126.447967,예천동 호수공원6로 예천푸르지오@ 앞 (서부지구대 앞),99,50,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
25,충청남도,서산시,일반국도,국도 29호선,국도 29호선,2,,충청남도 서산시 성연면 고남리 138-2,36.819398,126.440007,성연면 충의로 일람사거리 (대산→서산),99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
26,충청남도,서산시,일반국도,국도 29호선,국도 29호선,1,,충청남도 서산시 대산읍 대산리 149-132,,,대산읍 충의로 대산고 입구 (서산→대산),99,50,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
27,충청남도,서산시,기타,70호 국지도,70호 국지도,2,,충청남도 서산시 지곡면 무장리 659,36.858267,126.457343,지곡면 백제사신로 무장교차로 (대산→성연),99,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
28,충청남도,서산시,기타,70호 국지도,70호 국지도,1,,충청남도 서산시 지곡면 무장리 659,36.858267,126.457343,지곡면 백제사신로 무장교차로 (성연→대산),99,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
29,충청남도,서산시,일반국도,국도 38호선,국도 38호선,2,,충청남도 서산시 대산읍 화곡리 469-1,36.989934,126.431853,대산읍 충의로 반곡교차로 (당진→대산),99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
30,충청남도,서산시,일반국도,국도 38호선,국도 38호선,1,,충청남도 서산시 대산읍 화곡리 469-1,36.989934,126.431853,대산읍 충의로 반곡교차로 (대산→당진),99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
31,충청남도,서산시,일반국도,"국도 29, 32호선","국도 29, 32호선",1,,충청남도 서산시 예천동 483,36.772677,126.442032,서해로 예천사거리(대산→당진),99,60,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
32,충청남도,서산시,시도,시도,시도,2,,충청남도 서산시 예천동 67,36.769867,126.452335,남부순환로 석남교차로,99,60,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
33,충청남도,서산시,기타,도시계획도로,도시계획도로,1,,충청남도 서산시 성연면 왕정리 678,36.828108,,성연면 성연4로 E편한세상@ 앞 교차로,99,50,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
34,충청남도,서산시,기타,70호 국지도,70호 국지도,1,,충청남도 서산시 성연면 명천리 27-14,36.831446,126.499858,성연면 백제사신로 명천교차로(성연→지곡),99,70,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
35,충청남도,서산시,기타,도시계획도로,도시계획도로,1,,충청남도 서산시 석남동 518-1,36.764075,126.467065,석남동 양열로 세무서 사거리(잠홍동→예천동),99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
36,충청남도,서산시,일반국도,국도29호선,국도29호선,2,,충청남도 서산시 해미면 반양리 264-1,36.719793,126.535358,해미면 옥거리 교차로,99,80,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
37,충청남도,서산시,지방도,지방도,지방도,3,,충청남도 서산시 갈산동 산 2-114,36.785483,126.436125,읍내동 안견로 대산목교차로(경찰서 방향),99,50,,,,,충남지방경찰청,041-336-2256,2020-05-31,4530000,충청남도 서산시
주정차-42,부산광역시,남구,구도,"20번,39번,83번,83-1번,108번,131번,155번,",수영로,3,부산광역시 남구 수영로 324,부산광역시 남구 대연3동 54-5,35.13749956,129.101597,수영로 324교보문고앞,4,50,,,99,2019,부산광역시 남구,051-607-4461,2020-08-31,3310000,부산광역시 남구
주정차-43,부산광역시,남구,구도,"68번,134번,남구6번",석포로,3,부산광역시 남구 석포로 102,부산광역시 남구 대연4동 968-21,35.126608,129.090048,석포로102 조슈아트리앞,4,30,,,2,2019,부산광역시 남구,051-607-4461,2020-08-31,3310000,부산광역시 남구
1,울산광역시,울주군,6,중2-440,언양로,3,,울산광역시 울주군 삼남면 신화리 1601-3,35.552849915,129.139058642,KTX울산역 1(울산역 진입로),4,0,,,,2010,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
2,울산광역시,울주군,6,중2-440,언양로,3,,울산광역시 울주군 삼남면 신화리 482-11,35.5520980,129.1390720,KTX울산역 2(리무진버스 진입로),4,0,,,,2010,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
3,울산광역시,울주군,6,중2-440,언양로,3,,울산광역시 울주군 삼남면 신화리 95-6,35.5510710,129.1389810,KTX울산역 3(택시승강장 주변),4,0,,,,2012,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
4,울산광역시,울주군,6,대3-110,언양로,3,,울산광역시 울주군 삼남면 신화리 1616-2,35.5472560,129.1402720,KTX울산역 4(진출로 삼거리),4,0,,,,2012,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
5,울산광역시,울주군,6,광3-9,언양로,3,,울산광역시 울주군 삼남면 신화리 1616-1,35.5510180,129.1417920,KTX울산역 5(자전교 부근),4,0,,,,2012,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
6,울산광역시,울주군,6,대1-11,헌양길,3,,울산광역시 울주군 언양읍 동부리 129,35.5643170,129.1269460,언양시외버스터미널 부근,4,0,,,,2012,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
7,울산광역시,울주군,6,대1-11,헌양길,3,,울산광역시 울주군 언양읍 동부리 157-3,35.5652090,129.1250170,구 언양파출소부근(언양 임약국사거리),4,0,,,,2012,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
8,울산광역시,울주군,6,중2-209,남문길,3,,울산광역시 울주군 언양읍 남부리 294-1,35.5648170,129.1226070,언양읍 파리바게트(언양 김약국사거리),4,0,,,,2013,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
9,울산광역시,울주군,6,중2-211,동문길,3,,울산광역시 울주군 언양읍 남부리 161,35.5642440,129.1251118,언양읍 국민은행,4,0,,,,2013,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
10,울산광역시,울주군,6,중1-179,구영로,3,,울산광역시 울주군 범서읍 구영리 855-5,35.5732210,129.2416490,범서읍 우리은행(구영리 우리은행),4,0,,,,2013,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
11,울산광역시,울주군,6,중2-226,점촌2길,3,,울산광역시 울주군 범서읍 구영리 848-1,35.5754490,129.2406130,범서읍 부산은행(T월드 앞),4,0,,,,2013,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
12,울산광역시,울주군,6,중3-11,천상4길,3,,울산광역시 울주군 범서읍 천상리 606-16,35.5628317,129.2264223,범서읍 천상 그린피스맨션(천상리 세븐일레븐),4,0,,,,2013,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
13,울산광역시,울주군,6,중2-440,도호길,3,,울산광역시 울주군 삼남면 신화리 산 10-6,35.5499010,129.1388100,KTX울산역 6(시티투어 부근),4,0,,,,2014,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
14,울산광역시,울주군,6,광3-9,울산역로,3,,울산광역시 울주군 삼남면 신화리 1616-1,35.5510180,129.1417920,KTX울산역 7(울산역로1),4,0,,,,2014,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
15,울산광역시,울주군,6,광3-9,울산역로,3,,울산광역시 울주군 삼남면 신화리 1616-1,35.5510180,129.1417920,KTX울산역 8(울산역로2),4,0,,,,2014,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
16,울산광역시,울주군,6,대1-11,반구대로,3,,울산광역시 울주군 언양읍 남부리 336-1,35.5613680,129.1271250,언양읍 강변공영주차장 진입로,4,0,,,,2015,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
17,울산광역시,울주군,6,중2-25,온양로,3,,울산광역시 울주군 온양읍 대안리 494-2,35.4101480,129.2827960,온양읍 대안리 탑마트 삼거리,4,0,,,,2015,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
18,울산광역시,울주군,6,중3-11,천상3길,3,,울산광역시 울주군 범서읍 천상리 644-1,35.5625409,129.2238438,범서읍 천상 중앙로 수협사거리,4,0,,,,2015,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
19,울산광역시,울주군,6,중1-180,구영로,3,,울산광역시 울주군 범서읍 구영리 851-2,35.5748330,129.2409790,범서읍 푸르지오(구영리 국민은행 맞은편),4,0,,,,2016,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
20,울산광역시,울주군,6,중2-97,덕신로,3,,울산광역시 울주군 온산읍 덕신리 245-7,35.4337630,129.3104930,온산읍 덕신소공원,4,0,,,,2016,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
21,울산광역시,울주군,6,대1-11,반구대로,3,,울산광역시 울주군 언양읍 동부리 124-21,35.5646620,129.1276460,언양읍 삼천리자전거,4,0,,,,2016,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
22,울산광역시,울주군,6,소2-1,점촌4길,3,,울산광역시 울주군 범서읍 구영리 871-4,35.5707380,129.2377170,범서읍 현대2차 정문,4,0,,,,2016,울주군청 교통정책과,052-204-2524,2020-10-20,3730000,울산광역시 울주군
