시설종류,시설명,CCTV설치여부,CCTV설치대수,보호구역도로폭,보호구역_경도,보호구역_위도
어린이집,경희어린이집,N,0,6,127.051706,37.14560044
어린이집,그린어린이집,N,0,4,127.0696108,37.1497758
어린이집,대일어린이집,Y,2,5,127.0694738,37.1540109
어린이집,리틀램어린이집,N,0,3,127.035169,37.142546
어린이집,아이사랑어린이집,Y,1,6,127.073235,37.1339152
어린이집,중앙어린이집,N,0,13,127.0637019,37.1534266
어린이집,아이마루어린이집,N,0,6,127.070859,37.131331
어린이집,해오름어린이집,Y,1,6,127.0843344,37.1323452
어린이집,늘해랑어린이집,Y,1,7,127.056815,37.161017
어린이집,자연어린이집,Y,1,6,127.0812905,37.1408118
어린이집,시립남부어린이집,Y,1,12,127.0723256,37.138565
어린이집,지움 어린이집,Y,1,6,127.0529934,37.13983633
어린이집,키즈맘 어린이집,N,0,6,127.0528629,37.1395376
어린이집,i노리터 어린이집,N,0,6,127.053304,37.1402078
어린이집,행복아이 어린이집,Y,1,6,127.053947,37.1394614
어린이집,시립푸른숲 어린이집,N,0,13,127.0767023,37.127317
어린이집,아이펀 어린이집,Y,1,6,127.0497901,37.1401373
어린이집,시립생명숲어린이집,Y,1,6,127.0489504,37.17234844
어린이집,자람터어린이집,Y,1,12,127.0619238,37.1596413
어린이집,시립세마어린이집,Y,1,12,127.0449164,37.1846082
어린이집,미래숲어린이집,Y,1,6,127.044384,37.1453259
어린이집,시립은여울어린이집,N,0,20,127.0668603,37.1709522
어린이집,설리반어린이집,N,0,5,127.061041,37.1641268
어린이집,세교복지타운어린이집,Y,1,15,127.044835,37.17775181
