,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,x,y
16,2017050900100358,2017년 5월 9일 17시,화요일,경기도 오산시 은계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,자전거,남,10세,경상,206484.7866,406875.9102
17,2017050900100421,2017년 5월 9일 19시,화요일,경기도 오산시 궐동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로안,승합,남,32세,상해없음,승용,남,25세,상해없음,205033.8444,406566.1422
18,2017051400100198,2017년 5월 14일 12시,일요일,경기도 오산시 세교동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,6세,중상,203836.6999,409349.9307
19,2017051700100511,2017년 5월 17일 19시,수요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,보행자,남,8세,경상,206785.4056,405832.0799
20,2017060200100161,2017년 6월 2일 08시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,자전거,남,12세,경상,204695.7433,408647.1823
21,2017061200100348,2017년 6월 12일 15시,월요일,경기도 오산시 수청동,중상사고,0,1,2,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승합,여,52세,중상,204655.8152,407871.6657
22,2017061700100622,2017년 6월 17일 21시,토요일,경기도 오산시 외삼미동,중상사고,0,4,9,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승합,여,70세,상해없음,승용,남,41세,중상,204984.2544,410089.2729
23,2017062000100372,2017년 6월 20일 16시,화요일,경기도 오산시 원동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,7세,상해없음,승용,여,43세,상해없음,206243.5937,404426.6684
24,2017062100100387,2017년 6월 21일 17시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대사람 - 횡단중,기타,포장 - 건조,맑음,기타 - 기타,자전거,남,14세,기타불명,보행자,여,10세,경상,204457.67899999997,408451.8503
25,2017062300100140,2017년 6월 23일 08시,금요일,경기도 오산시 세교동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,화물,남,46세,상해없음,보행자,남,12세,부상신고,203122.6666,409682.2969
26,2017062800100166,2017년 6월 28일 09시,수요일,경기도 오산시 세교동,경상사고,0,0,1,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,33세,상해없음,보행자,여,57세,경상,203123.7206,410051.4475
27,2017070900100303,2017년 7월 9일 17시,일요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,64세,상해없음,보행자,남,9세,경상,206270.9206,405126.0896
28,2017071500100284,2017년 7월 15일 13시,토요일,경기도 오산시 서랑동,중상사고,0,1,2,1,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,61세,경상,승용,남,24세,경상,200586.6017,408178.3385
29,2017072100100546,2017년 7월 21일 20시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,37세,상해없음,자전거,여,29세,상해없음,206371.1762,406224.0531
30,2017072400100564,2017년 7월 24일 22시,월요일,경기도 오산시 수청동,중상사고,0,3,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,60세,상해없음,승용,여,35세,중상,205801.6808,407034.3734
31,2017072900100407,2017년 7월 29일 16시,토요일,경기도 오산시 오산동,중상사고,0,1,2,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,23세,중상,207098.9733,405937.7738
32,2017080600100284,2017년 8월 6일 16시,일요일,경기도 오산시 외삼미동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,자전거,남,12세,경상,205632.89899999998,410015.664
33,2017081600100165,2017년 8월 16일 09시,수요일,경기도 오산시 부산동,중상사고,0,1,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,자전거,여,10세,중상,206857.2674,406053.5464
34,2017082000100485,2017년 8월 20일 22시,일요일,경기도 오산시 원동,경상사고,0,0,4,0,차대차 - 측면충돌,신호위반,포장 - 젖음/습기,비,교차로 - 교차로안,화물,남,60세,상해없음,승용,여,49세,경상,206944.5263,405251.6876
35,2017082100100347,2017년 8월 21일 15시,월요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,52세,상해없음,보행자,여,12세,중상,206871.0377,406477.7874
36,2017082500100055,2017년 8월 25일 02시,금요일,경기도 오산시 오산동,중상사고,0,1,3,0,차대차 - 추돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,23세,상해없음,승용,여,51세,경상,206614.8868,405538.0649
37,2017082600100285,2017년 8월 26일 12시,토요일,경기도 오산시 갈곶동,경상사고,0,0,4,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,여,38세,상해없음,승용,남,35세,부상신고,206118.0738,403376.5912
38,2017090100100569,2017년 9월 1일 18시,금요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,36세,상해없음,승용,남,41세,상해없음,206619.9519,405526.0868
39,2017090200100613,2017년 9월 2일 21시,토요일,경기도 오산시 원동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,원동기,남,16세,상해없음,자전거,남,8세,중상,206910.5863,405427.5787
40,2017091100100573,2017년 9월 11일 20시,월요일,경기도 오산시 오산동,부상신고사고,0,0,0,1,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,남,8세,부상신고,206944.9188,406316.1125
41,2017091200100173,2017년 9월 12일 09시,화요일,경기도 오산시 원동,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,여,50세,상해없음,승용,여,39세,경상,206301.7502,405540.4162
42,2017091900100182,2017년 9월 19일 09시,화요일,경기도 오산시 수청동,경상사고,0,0,3,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,62세,경상,건설기계,남,44세,경상,205455.4779,408375.0794
43,2017092200100165,2017년 9월 22일 08시,금요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,46세,상해없음,보행자,남,6세,중상,206087.2443,405620.3179
44,2017092200100207,2017년 9월 22일 09시,금요일,경기도 오산시 오산동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,승용,여,36세,경상,206997.1671,406652.5214
45,2017092900100614,2017년 9월 29일 18시,금요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,이륜,남,19세,상해없음,보행자,남,5세,경상,206539.8346,404403.2193
46,2017100100100512,2017년 10월 1일 21시,일요일,경기도 오산시 원동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로부근,화물,남,52세,상해없음,승용,여,38세,경상,206533.2321,405276.531
47,2017101100100496,2017년 10월 11일 19시,수요일,경기도 오산시 궐동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,57세,상해없음,승용,여,43세,경상,206186.2458,406766.2937
48,2017101600100107,2017년 10월 16일 08시,월요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,주차장 - 주차장,승용,여,39세,상해없음,자전거,남,10세,경상,206422.9443,404373.5919
49,2017102000100475,2017년 10월 20일 16시,금요일,경기도 오산시 원동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,64세,상해없음,보행자,남,11세,경상,206965.9351,404226.3932
50,2017102300100517,2017년 10월 23일 18시,월요일,경기도 오산시 누읍동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,12세,상해없음,,,,,204107.4018,404682.5184
51,2017111400100483,2017년 11월 14일 18시,화요일,경기도 오산시 원동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,29세,상해없음,자전거,남,10세,경상,206536.297,404315.1657
52,2017112100100234,2017년 11월 21일 10시,화요일,경기도 오산시 오산동,중상사고,0,2,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로안,승용,남,54세,중상,승용,남,32세,경상,206251.9055,406266.4415
53,2017112100100509,2017년 11월 21일 18시,화요일,경기도 오산시 외삼미동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,여,40세,상해없음,205613.9026,410013.56299999997
54,2017121100100255,2017년 12월 11일 14시,월요일,경기도 오산시 부산동,경상사고,0,0,2,10,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승합,남,43세,경상,승용,남,32세,부상신고,207380.0075,405383.0338
55,2017122000100538,2017년 12월 20일 19시,수요일,경기도 오산시 수청동,경상사고,0,0,2,1,차대차 - 추돌,안전운전불이행,포장 - 서리/결빙,눈,단일로 - 기타,승용,남,48세,상해없음,승용,남,31세,경상,204909.8874,407877.0069
56,2017122300100311,2017년 12월 23일 12시,토요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,보행자,여,10세,경상,207475.5105,405484.5773
57,2017122900100647,2017년 12월 29일 22시,금요일,경기도 오산시 세교동,경상사고,0,0,2,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,41세,상해없음,승용,남,31세,경상,203810.2714,409618.8973
58,2017123100100325,2017년 12월 31일 18시,일요일,경기도 오산시 궐동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,남,52세,상해없음,승용,남,43세,경상,205719.1528,406748.8255
59,2018011200100385,2018년 1월 12일 15시,금요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,37세,상해없음,보행자,여,10세,경상,204286.7342,408238.8652
60,2018013100100171,2018년 1월 31일 09시,수요일,경기도 오산시 세교동,경상사고,0,0,1,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,승용,여,36세,경상,203861.5691,410514.5205
61,2018020600100393,2018년 2월 6일 16시,화요일,경기도 오산시 오산동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,69세,상해없음,화물,남,53세,경상,206551.6408,405769.8237
62,2018021300100741,2018년 2월 13일 21시,화요일,경기도 오산시 내삼미동,중상사고,0,3,3,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,55세,상해없음,승용,남,42세,중상,205829.9301,408507.1055
63,2018030900100374,2018년 3월 9일 19시,금요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,66세,상해없음,자전거,남,11세,경상,206989.3223,406622.4682
64,2018031300100253,2018년 3월 13일 14시,화요일,경기도 오산시 부산동,부상신고사고,0,0,0,3,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,40세,부상신고,승용,여,39세,부상신고,206993.2989,406437.4156
65,2018031800100228,2018년 3월 18일 15시,일요일,경기도 오산시 내삼미동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,포장 - 젖음/습기,흐림,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,보행자,여,9세,경상,204784.6762,408097.434
66,2018032300100107,2018년 3월 23일 08시,금요일,경기도 오산시 오산동,중상사고,0,2,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,화물,남,75세,상해없음,보행자,여,41세,중상,205714.2334,405594.3426
67,2018042100100463,2018년 4월 21일 17시,토요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,11세,경상,승용,남,24세,상해없음,206714.2304,406049.7913
68,2018042500100378,2018년 4월 25일 16시,수요일,경기도 오산시 원동,경상사고,0,0,1,1,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,승합,남,67세,경상,206456.2632,404125.669
69,2018042900100339,2018년 4월 29일 16시,일요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,10세,중상,205865.2336,405985.2929
70,2018050200100494,2018년 5월 2일 19시,수요일,경기도 오산시 오산동,경상사고,0,0,2,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 젖음/습기,비,단일로 - 기타,승용,여,46세,경상,,,,,206549.9498,405900.8667
71,2018050600100323,2018년 5월 6일 18시,일요일,경기도 오산시 가장동,중상사고,0,3,1,0,차대차 - 측면충돌,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,42세,상해없음,승용,남,42세,중상,203363.1252,406767.4183
72,2018050800100409,2018년 5월 8일 17시,화요일,경기도 오산시 고현동,중상사고,0,1,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,47세,상해없음,보행자,여,44세,중상,207267.7852,403897.8523
73,2018051700100542,2018년 5월 17일 21시,목요일,경기도 오산시 수청동,경상사고,0,0,2,3,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,승용,남,50세,경상,205472.2681,407846.959
74,2018051800100268,2018년 5월 18일 12시,금요일,경기도 오산시 내삼미동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,27세,상해없음,승용,여,35세,경상,205852.2374,408071.0504
75,2018052200100231,2018년 5월 22일 12시,화요일,경기도 오산시 수청동,경상사고,0,0,4,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,67세,상해없음,승용,여,43세,경상,205471.0567,407886.9685
76,2018052600100560,2018년 5월 26일 19시,토요일,경기도 오산시 부산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,11세,경상,승용,남,28세,상해없음,206923.0018,406108.9147
77,2018052700100042,2018년 5월 27일 02시,일요일,경기도 오산시 내삼미동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,기타불명,기타불명,미분류,기타불명,자전거,남,12세,부상신고,205375.7841,408500.7091
78,2018060500100570,2018년 6월 5일 20시,화요일,경기도 오산시 세교동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,11세,경상,203607.8039,409502.7841
79,2018060900100493,2018년 6월 9일 19시,토요일,경기도 오산시 내삼미동,중상사고,0,3,0,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,61세,상해없음,승용,남,37세,중상,205067.0306,408810.2039
80,2018061900100407,2018년 6월 19일 17시,화요일,경기도 오산시 수청동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,56세,상해없음,보행자,여,3세,부상신고,205412.9246,407907.6703
81,2018062200100544,2018년 6월 22일 18시,금요일,경기도 오산시 수청동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,6세,부상신고,승용,남,50세,상해없음,205064.6366,408125.9208
82,2018062400100330,2018년 6월 24일 18시,일요일,경기도 오산시 금암동,경상사고,0,0,1,2,차대차 - 후진중충돌,안전운전불이행,비포장 - 건조,맑음,기타 - 기타,기타불명,여,45세,상해없음,승합,여,43세,경상,204594.7504,408448.5715
83,2018063000100373,2018년 6월 30일 17시,토요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,남,9세,경상,204490.765,408438.0192
84,2018071500100351,2018년 7월 15일 18시,일요일,경기도 오산시 금암동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,33세,상해없음,보행자,남,8세,부상신고,204483.7413,408441.9838
85,2018072200100184,2018년 7월 22일 12시,일요일,경기도 오산시 원동,중상사고,0,2,0,2,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,37세,상해없음,승용,남,47세,중상,206548.4367,405428.6714
86,2018073000100297,2018년 7월 30일 13시,월요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,원동기,남,53세,상해없음,자전거,남,12세,경상,206363.5384,405964.9101
87,2018080800100140,2018년 8월 8일 09시,수요일,경기도 오산시 금암동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승합,남,57세,상해없음,자전거,남,7세,경상,203941.5215,408443.1261
88,2018081700100092,2018년 8월 17일 07시,금요일,경기도 오산시 은계동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,9세,부상신고,206748.4358,406962.3338
89,2018082000100324,2018년 8월 20일 14시,월요일,경기도 오산시 오산동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 지하차도(도로)내,화물,남,61세,상해없음,승용,남,37세,경상,205965.5578,405551.6496
90,2018090100100310,2018년 9월 1일 14시,토요일,경기도 오산시 원동,경상사고,0,0,4,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,승용,여,37세,경상,206954.2019,405503.8388
91,2018090700100477,2018년 9월 7일 17시,금요일,경기도 오산시 갈곶동,부상신고사고,0,0,0,1,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,32세,상해없음,보행자,여,5세,부상신고,206133.0512,403761.8227
92,2018091600100486,2018년 9월 16일 21시,일요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,여,64세,상해없음,승용,남,47세,경상,206941.1232,405517.7754
93,2018091900100388,2018년 9월 19일 16시,수요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,보행자,남,5세,경상,206108.8648,406073.6114
94,2018092000100422,2018년 9월 20일 16시,목요일,경기도 오산시 오산동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,52세,상해없음,보행자,남,12세,중상,206991.2876,406439.4058
95,2018092500100080,2018년 9월 25일 09시,화요일,경기도 오산시 원동,중상사고,0,1,4,1,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,48세,부상신고,승용,여,45세,경상,206962.1732,405509.8832
96,2018100300100203,2018년 10월 3일 11시,수요일,경기도 오산시 세교동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,39세,상해없음,승용,남,39세,경상,203526.3078,409780.4637
97,2018100700100165,2018년 10월 7일 10시,일요일,경기도 오산시 원동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,승용,여,39세,경상,206510.5773,404260.0084
98,2018101300100157,2018년 10월 13일 09시,토요일,경기도 오산시 내삼미동,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,화물,여,41세,상해없음,승용,남,44세,경상,206438.0165,409105.5482
99,2018101400100243,2018년 10월 14일 15시,일요일,경기도 오산시 금암동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,41세,상해없음,승용,남,43세,경상,204241.7172,408807.8523
100,2018101700100318,2018년 10월 17일 14시,수요일,경기도 오산시 금암동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로횡단보도내,승용,여,36세,상해없음,보행자,남,9세,중상,204120.9472,408755.1949
101,2018111000100527,2018년 11월 10일 18시,토요일,경기도 오산시 궐동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,33세,상해없음,보행자,여,10세,중상,205465.7305,406430.3642
102,2018120400100452,2018년 12월 4일 18시,화요일,경기도 오산시 오산동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,34세,상해없음,승용,남,29세,경상,206840.68,406353.5782
103,2018120400100487,2018년 12월 4일 19시,화요일,경기도 오산시 오산동,경상사고,0,0,3,2,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,45세,상해없음,승용,여,27세,경상,206072.2452,406188.464
104,2018120600100595,2018년 12월 6일 21시,목요일,경기도 오산시 가수동,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,화물,남,45세,상해없음,승용,여,37세,경상,204847.1004,405364.6838
